"behavior","subdialogue_id","subdialogue_text"
"#0After approaching the large doors-1st time","78000000","Unknowing visitor, return from whence thou camest."
"#0After approaching the large doors-1st time","78000001","The Abyss runneth deep. By the King's decree,"
"#0After approaching the large doors-1st time","78000002","None may disturb our mistress's slumber."
"#0After approaching the large doors-2nd time","78000100","Turn back, unknowing visitor."
"#0After approaching the large doors-2nd time","78000101","By the King's decree."
"#0After traversing the fog to fight Halflight, Spear of the Church","78000200","Foolishness. The King's decree is no trifling matter."
"#0After traversing the fog to fight Halflight, Spear of the Church","78000201","I, Judicator Argo, shall deliver thee justice."
"#0After traversing the fog to fight Halflight, Spear of the Church","78000202","...Spear of the Church, sworn defender of our Princess Filianore!"
"#0After traversing the fog to fight Halflight, Spear of the Church","78000203","Harken to the call that summons thee!"
"#0After traversing the fog to fight Halflight, Spear of the Church","78000204","Make haste!"
"#0After gaining rank 1 as a Spear of the Church & approaching doors-1st time","78000700","Spear of the Church, turn back."
"#0After gaining rank 1 as a Spear of the Church & approaching doors-1st time","78000701","The Abyss runneth deep.
Thou'rt sworn to protect our mistress's slumber."
"#0After gaining rank 1 as a Spear of the Church & approaching doors-1st time","78000702","Or wouldst thou thy covenant forsake,
in violation of the King's decree?"
"#0After gaining rank 1 as a Spear of the Church & approaching doors-2nd time","78000800","Turn back, Spear of the Church."
"#0After gaining rank 1 as a Spear of the Church & approaching doors-2nd time","78000801","Or wouldst thou thy covenant forsake,
in violation of the King's decree?"
"#0After gaining rank 1 as a Spear of the Church & traversing the fog","78000900","Foolishness. To forswear thy covenant and the King's decree."
"#0After gaining rank 1 as a Spear of the Church & traversing the fog","78000901","I, Judicator Argo, shall bring this defiled spear to justice."
"#0After gaining rank 1 as a Spear of the Church & traversing the fog","78000902","...Divine spear of Yore, sworn defender of our Princess Filianore!"
"#0After gaining rank 1 as a Spear of the Church & traversing the fog","78000903","Harken to the call that summons thee."
"#0After gaining rank 1 as a Spear of the Church & traversing the fog","78000904","Make haste!"
"#0Upon dying","78000300","Spear of the church, by the sacred decree, protect our Princess."
"#0Being killed","78000601","Spear of the Church, make haste..."
"#0Upon dying after gaining rank 1 as a Spear of the Church","78001000","Divine spear of yore, by sacred decree, protect our dear Princess..."
"#0Being killed after gaining rank 1 as a Spear of the Church","78001101","Divine spear of yore, make haste..."
"#0Summoning the 2nd Church Guardian","78000204","Make haste!"
