"behavior","subdialogue_id","subdialogue_text"
"#0Prologue","1000000","Yes, indeed."
"#0Prologue","1000001","It is called Lothric,"
"#0Prologue","1000002","where the transitory lands of the Lords of Cinder converge."
"#0Prologue","1000100","In venturing north,"
"#0Prologue","1000101","the pilgrims discover the truth of the old words."
"#0Prologue","1000200","""The fire fades,"
"#0Prologue","1000201","and the lords go without thrones."""
"#0Prologue","1000300","When the link of fire is threatened, the bell tolls,"
"#0Prologue","1000301","unearthing the old Lords of Cinder from their graves."
"#0Prologue","1000400","Aldrich, Saint of the Deep."
"#0Prologue","1000401","Farron's Undead Legion, the Abyss Watchers."
"#0Prologue","1000402","And the reclusive lord of the Profaned Capital,"
"#0Prologue","1000403","Yhorm the Giant."
"#0Prologue","1000500","Only, in truth..."
"#0Prologue","1000501","The Lords will abandon their thrones,"
"#0Prologue","1000502","and the Unkindled will rise."
"#0Prologue","1000600","Nameless, accursed Undead, unfit even to be cinder."
"#0Prologue","1000601","And so it is."
"#0Prologue","1000602","That ash seeketh embers."
