"behavior","subdialogue_id","subdialogue_text"
"#01st time stepped into The Painted World of Ariandel","59000100","..."
"#0Talk-1st time","59000200","..."
"#0Talk-1st time","59000201","Ahh, have you just arrived?"
"#0Talk-1st time","59000202","How very unusual. Just how long has it been!"
"#0Talk-1st time","59000203","Rejoice, my new friend!
For this is a true haven of the Forlorn."
"#0Talk-1st time","59000204","The cold and gentle painted world of Ariandel."
"#0Talk-1st time","59000205","Quick, go along, find one for yourself."
"#0Talk-1st time","59000206","A sweetly rotting bed to lie upon..."
"#0Talk-2nd time","59000300","Ahh, ahh, yes, of course."
"#0Talk-2nd time","59000301","You're no exception. We've all seen terrible things."
"#0Talk-2nd time","59000302","But you're safe now. Let it ease your burden."
"#0Talk-2nd time","59000303","Ariandel will make a fine home for you."
"#0Talk-2nd time","59000304","So, go on ahead, find one for yourself."
"#0Talk-2nd time","59000305","A sweetly rotting bed to lie upon..."
"#0Talk-3rd time","59000400","Quick! Go along, find one for yourself."
"#0Talk-3rd time","59000401","A sweetly rotting bed to lie upon..."
"#0Talk-After the protagonist leaves & returns","59000001","My very own home, now..."
"#0Talk-After the protagonist leaves & returns","59000002","..."
"#0Upon being attacked-1st time","59000501","..."
"#0Upon being attacked-2nd time","59000502","..."
"#0Upon being attacked-3rd time","59000503","..."
"#0Upon being attacked-4th time","59000504","..."
"#0Upon dying","59000600","..."
"#0Upon dying","59000000","##Ahh, Lady Friede, such is why it's warm..."
