"behavior","subdialogue_id","subdialogue_text"
"","61000020","##Grave of a nameless retainer.
Raised his sword for the Lord of Cinder."
"","61000025","##Died in solitude.
May his soul find its way back to the Frigid Valley."
"","61000030","##To honour and shadowy retreats.
Fear the sun's temptations, and the winged executioner."
"","61000035","##This exile was chased from his homeland,
and haunted by a black sun."
"","61300000","##Grave of a nameless retainer.
Raised his sword for the Lord of Cinder."
"","61300010","##Died in solitude.
May his soul find its way back to the Frigid Valley."
"","61300020","##To honour and shadowy retreats.
Fear the sun's temptations, and the winged executioner."
"","61300030","##This exile was chased from his homeland,
and haunted by a black sun."
"","61310000","##...
..."
"","61310010","##..."
"","61330000","##..."
"","61330005","##..."
"","61330010","##..."
"","61330015","##..."
"","61330020","##..."
"","61330025","##..."
"","61330030","##..."
"","61330035","##..."
"","61330040","##...
..."
"","61330045","##..."
"","61330050","##..."
"","61330055","##...
..."
"","61330060","##...
..."
"","61340000","##..."
"","61340010","##..."
"","61340020","##...
..."
"","61340030","##..."
"","61350000","##...
..."
"","61350010","##...
..."
"","61350020","##...
..."
"","61370000","##...
..."
"","61370010","##...
..."
"","61370020","##..."
"","61370030","##...
..."
"","61370040","##...
..."
"","61370050","##...
..."
"","61370060","##..."
"","61380000","##..."
"","61380010","##..."
"","61380020","##..."
"","61380030","##..."
"","61380040","##...
..."
"","61390000","##...
..."
"","61390010","##...
..."
"","61390020","##...
..."
"","61390030","##...
..."
"","61390040","##..."
