"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","17000000","Hmm... Another one of those Unkindled, are you?"
"#0Talk-1st time","17000001","All you faceless Undead, behaving as if you deserve respect."
"#0Talk-1st time","17000002","Hmph. No matter. Heed my words."
"#0Talk-1st time","17000003","If you've any sense, you'll go find a coffin to huddle up inside."
"#0Talk-1st time","17000004","You here, in this land of Hollows,
you're like a frail maiden on the front lines."
"#0Talk-1st time","17000005","If like the others, you're fool enough to play the champion..."
"#0Talk-1st time","17000006","Then go on ahead, traipse right past the abandoned church."
"#0Talk-1st time","17000007","You'll face death, and it won't be pretty."
"#0Talk-1st time","17000008","Enough death to leave you broken, time after time."
"#0Talk-1st time","17000009","..."
"#0Talk-2nd time","17000100","If like the others, you're fool enough to play the champion..."
"#0Talk-2nd time","17000101","Then go on ahead, traipse right past the abandoned church."
"#0Talk-2nd time","17000102","Hopeless, the whole lot of you.
Like little moths, flittering toward a flame."
"#0Talk-2nd time","17000103","..."
"#0Talk-1st time after seeing Irina in the cell & having already talked to him","17000200","You like poking around in cells, do you?"
"#0Talk-1st time after seeing Irina in the cell & having already talked to him","17000201","How very genteel!"
"#0Talk-1st time after seeing Irina in the cell & having already talked to him","17000202","..."
"#0Talk-2nd time after seeing Irina in the cell & having already talked to him","17000300","Ah-hah, taken an interest in her, have you?"
"#0Talk-2nd time after seeing Irina in the cell & having already talked to him","17000301","Well, she's a lost cause.
Couldn't even become a Fire Keeper."
"#0Talk-2nd time after seeing Irina in the cell & having already talked to him","17000302","After I brought her all this way,
and got her all ready."
"#0Talk-2nd time after seeing Irina in the cell & having already talked to him","17000303","She's beyond repair, I tell you."
"#0Talk-2nd time after seeing Irina in the cell & having already talked to him","17000304","..."
"#0Talk-3rd time after seeing Irina in the cell & having already talked to him","17000400","The woman's a lost cause."
"#0Talk-3rd time after seeing Irina in the cell & having already talked to him","17000401","Couldn't even become a Fire Keeper."
"#0Talk-3rd time after seeing Irina in the cell & having already talked to him","17000402","She's beyond repair, I tell you."
"#0Talk-3rd time after seeing Irina in the cell & having already talked to him","17000403","..."
"#0Talk-1st time after visiting Irina's cell before speaking to Eygon","17000500","Hmm... Another one of those Unkindled, are you?"
"#0Talk-1st time after visiting Irina's cell before speaking to Eygon","17000501","All you faceless Undead, behaving as if you deserve respect."
"#0Talk-1st time after visiting Irina's cell before speaking to Eygon","17000502","Now you're poking around in peoples' cells."
"#0Talk-1st time after visiting Irina's cell before speaking to Eygon","17000503","How very noble!"
"#0Talk-1st time after visiting Irina's cell before speaking to Eygon","17000504","..."
"#0Talk-1st time after accepting Irina's service","17000600","You've gone and rescued her, have you?"
"#0Talk-1st time after accepting Irina's service","17000601","How very quaint, pitying creatures that are beyond help."
"#0Talk-1st time after accepting Irina's service","17000602","..."
"#0Talk-1st time after accepting Irina's service","17000603","Very well. I'm sick of looking after her at any rate."
"#0Talk-1st time after accepting Irina's service","17000604","I am Eygon, a knight of Carim."
"#0Talk-1st time after accepting Irina's service","17000605","I am allied to you as long as you assure the girl's safety."
"#0Talk-1st time after accepting Irina's service","17000606","And only for that long..."
"#0Talk-2nd time after accepting Irina's service","17000700","What's the matter? My terms are very simple."
"#0Talk-2nd time after accepting Irina's service","17000701","I am allied to you for as long as you assure the girl's safety."
"#0Talk-2nd time after accepting Irina's service","17000702","And only for that long..."
"#0Talk-2nd time after accepting Irina's service","17000703","..."
"#0Talk-After accepting Irina's service before speaking to Eygon","17000800","Hmm... Another one of those Unkindled, are you?"
"#0Talk-After accepting Irina's service before speaking to Eygon","17000801","All you faceless Undead, behaving as if you deserve respect."
"#0Talk-After accepting Irina's service before speaking to Eygon","17000802","Now you've gone and rescued the wench..."
"#0Talk-After accepting Irina's service before speaking to Eygon","17000803","How very quaint, pitying creatures that are beyond help."
"#0Talk-After accepting Irina's service before speaking to Eygon","17000804","..."
"#0Talk-After accepting Irina's service before speaking to Eygon","17000805","Hmph, very well. I'm sick of looking after her at any rate."
"#0Talk-After accepting Irina's service before speaking to Eygon","17000806","I am Eygon, a knight of Carim."
"#0Talk-After accepting Irina's service before speaking to Eygon","17000807","I am allied to you for as long as you assure the girl's safety."
"#0Talk-After accepting Irina's service before speaking to Eygon","17000808","And only for that long..."
"#0Talk-1st time","17000901","Ahh, I know you. Been some time."
"#0Talk-1st time","17000902","I just dropped in to see how she's getting on."
"#0Talk-1st time","17000903","Now, what are you playing at with this circus?"
"#0Talk-1st time","17000904","This cesspool of
doddering oldfolk and degenerates."
