"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","2000000","Welcome to the bonfire, Unkindled One."
"#0Talk-1st time","2000001","I am a Fire Keeper."
"#0Talk-1st time","2000002","I tend to the flame, and tend to thee."
"#0Talk-1st time","2000003","The Lords have left their thrones, and must be deliver'd to them."
"#0Talk-1st time","2000004","To this end, I am at thy side."
"#0Talk-2nd time, before using the Shrine Bonfire to travel from & return","2003000","Ashen one."
"#0Talk-2nd time, before using the Shrine Bonfire to travel from & return","2003001","Produce the coiled sword at the bonfire."
"#0Talk-2nd time, before using the Shrine Bonfire to travel from & return","2003002","The mark of ash will guide thee to the land of the Lords."
"#0Talk-2nd time, before using the Shrine Bonfire to travel from & return","2003003","To Lothric, where the homes of the Lords converge."
"#0Talk-After using the Shrine Bonfire to travel from & return","2000100","Welcome home, ashen one."
"#0Talk-After using the Shrine Bonfire to travel from & return","2000101","Speak thine heart's desire."
"#0Menu-Choose ""Leavel Up""","2000200","Very well."
"#0Menu-Choose ""Leavel Up""","2000201","Then touch the darkness within me."
"#0Menu-Choose ""Leavel Up""","2000202","Take nourishment from these sovereignless souls."
"#0While accessing the Level Up Menu","2000300","Let these souls, withdrawn from their vessels,
manifestations of disparity, elucidated by fire..."
"#0While accessing the Level Up Menu","2000301","...burrow deep within me,
retreating to a darkness beyond the reach of flame."
"#0While accessing the Level Up Menu","2000302","Let them assume a new master,
inhabiting ash, casting themselves upon new forms."
"#0While accessing the Level Up Menu","2000303","An Unkindled slayer of lords; a Lord himself Unkindled."
"#0While accessing the Level Up Menu","2000353","An Unkindled slayer of lords; a Lord herself Unkindled."
"#0Menu-Choose ""Talk""","2000600","Ashen one, to be unkindled is to be a vessel for souls."
"#0Menu-Choose ""Talk""","2000601","Sovereignless souls will become thy strength."
"#0Menu-Choose ""Talk""","2000602","I will show thee how."
"#0Menu-Choose ""Talk""","2000603","Ashen one, bring me souls, plucked from their vessels..."
"#0Menu-Choose ""Give Fire Keeper Soul"" & choose ""Yes""","2003200","...Ashen one, this is..."
"#0Menu-Choose ""Give Fire Keeper Soul"" & choose ""Yes""","2003201","...much like what lies within me..."
"#0Menu-Choose ""Give Fire Keeper Soul"" & choose ""Yes""","2003202","Then let it find its own place, within my bosom."
"#0Menu-Choose ""Give Fire Keeper Soul"" & choose ""Yes""","2003203","She will understand.
We are both Fire Keepers, after all."
"#0Menu-Choose ""Give Fire Keeper Soul"" & choose ""Yes""","2003300","Forgive me, sister."
"#0Menu-Choose ""Give Fire Keeper Soul"" & choose ""Yes""","2003301","May the flames guide thy way."
"#0Menu-Choose ""Talk"" after acquiring the Eyes of a Fire Keeper","2000700","Ashen one, may I pose thee a question?"
"#0Menu-Choose ""Talk"" after acquiring the Eyes of a Fire Keeper","2000701","Has the little Lord Ludleth spoken to thee of any...curious matters?"
"#0Menu-Choose ""Talk"" after acquiring the Eyes of a Fire Keeper","2000702","I sense that he possesseth some knowledge..."
"#0Menu-Choose ""Talk"" after acquiring the Eyes of a Fire Keeper","2000703","Of a thing once most precious, or most terrible,
now lost to the Fire Keepers."
