"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","55000000","Welcome. To the painted world of Ariandel."
"#0Talk-1st time","55000001","I am Friede.
I have long stood beside our blessed Father,
and the rest of the Forlorn."
"#0Talk-1st time","55000002","But Forlorn thou seemeth not."
"#0Talk-1st time","55000003","Ashen One,
I know not the missteps which led thee to this Painted World."
"#0Talk-1st time","55000004","But thy duty is all, and thy duty lieth elsewhere."
"#0Talk-1st time","55000005","Return from whence thou cam'st."
"#0Talk-1st time","55000006","I presume it visible to thee? The bonfire here, in this room."
"#0Talk-1st time","55000007","A meek and faded thing, but 'twill guide thee nonetheless."
"#0Talk-2nd time","55000100","Ahh yes, there is a thing thou shouldst by rights possess."
"#0Talk-2nd time","55000101","Ours is a chance encounter,
to be sure, but perhaps it was meant to be."
"#0Talk-2nd time","55000102","Let this be a remembrance of this cold world,
a thing to help thee bear thy duty."
"#0Talk-2nd time","55000103","Now, return from whence thou cam'st."
"#0Talk-2nd time","55000104","Thou'st a place in that world, and that alone is cause to rejoice."
"#0Talk-1st time after attaining 5 or more Dark Sigils","55000700","Welcome. To the painted world of Ariandel."
"#0Talk-1st time after attaining 5 or more Dark Sigils","55000701","I am Friede.
I have long stood beside our blessed Father,
and the rest of the Forlorn."
"#0Talk-1st time after attaining 5 or more Dark Sigils","55000702","But Forlorn thou seemeth not."
"#0Talk-1st time after attaining 5 or more Dark Sigils","55000703","Lord of Hollows,
I know not the missteps which led thee to this painted world."
"#0Talk-1st time after attaining 5 or more Dark Sigils","55000704","But thy duty is all, and thy duty lieth elsewhere."
"#0Talk-1st time after attaining 5 or more Dark Sigils","55000705","Return from whence thou cam'st."
"#0Talk-1st time after attaining 5 or more Dark Sigils","55000706","I presume it visible to thee? The bonfire here, in this room."
"#0Talk-1st time after attaining 5 or more Dark Sigils","55000707","A meek and faded thing, but 'twill guide thee nonetheless."
"#0Talk-2nd time after attaining 5 or more Dark Sigils","55000800","Ahh yes, there is a thing thou shouldst by rights possess."
"#0Talk-2nd time after attaining 5 or more Dark Sigils","55000801","A remembrance of this cold world, for the great Lord of Londor."
"#0Talk-2nd time after attaining 5 or more Dark Sigils","55000802","May it help thee bear thy duty."
"#0Talk-2nd time after attaining 5 or more Dark Sigils","55000803","Now, return from whence thou cam'st."
"#0Talk-2nd time after attaining 5 or more Dark Sigils","55000804","Thou'st a place in that world, and that alone is cause to rejoice."
"#0Talk-3rd time","55000200","Now, return from whence thou cam'st."
"#0Talk-3rd time","55000201","Thou'st a place in that world, and that alone is cause to rejoice."
"#0Talk-1st time after the protagonist leaves & returns","55000300","What troubles thee to linger yet?"
"#0Talk-1st time after the protagonist leaves & returns","55000301","Thy duty is all, and thy duty lieth elsewhere."
"#0Talk-1st time after the protagonist leaves & returns","55000302","Return from whence thou cam'st."
"#0Talk-1st time after the protagonist leaves & returns","55000303","For that is thy place of belonging."
"#0Talk-2nd time after the protagonist leaves & returns","55000400","Now, return from whence thou cam'st."
"#0Talk-2nd time after the protagonist leaves & returns","55000401","For that is thy place of belonging."
"#0Talk-1st time reaching the Corvian Settlement","55000500","Be forewarned, eager Ash."
"#0Talk-1st time reaching the Corvian Settlement","55000501","Should this world wither and rot,"
"#0Talk-1st time reaching the Corvian Settlement","55000502","even then would Ariandel remain our home."
"#0Talk-1st time reaching the Corvian Settlement","55000503","Leave us be, Ashen One."
"#0Talk-1st time reaching the Corvian Settlement","55000504","Sweep all thought of us from thy mind.
As thy kind always have."
"#0Talk-2nd time reaching the Corvian Settlement","55000600","Leave us be, Ashen One."
"#0Talk-2nd time reaching the Corvian Settlement","55000601","Sweep all thought of us from thy mind.
As thy kind always have."
"#0Talk-1st time reaching the Corvian Settlement, with 5 or more Dark Sigils","55000900","Be forewarned, eager Ash."
"#0Talk-1st time reaching the Corvian Settlement, with 5 or more Dark Sigils","55000901","Should this world wither and rot,"
"#0Talk-1st time reaching the Corvian Settlement, with 5 or more Dark Sigils","55000902","Even then would Ariandel remain our home."
"#0Talk-1st time reaching the Corvian Settlement, with 5 or more Dark Sigils","55000903","Leave us be, Ashen One."
"#0Talk-1st time reaching the Corvian Settlement, with 5 or more Dark Sigils","55000904","Thou'rt the Lord of Londor, and have thine own subjects to guide."
"#0Talk-2nd time reaching the Corvian Settlement, with 5 or more Dark Sigils","55001000","Leave us be, Ashen One,"
"#0Talk-2nd time reaching the Corvian Settlement, with 5 or more Dark Sigils","55001001","Thou'rt the Lord of Londor, and have thine own subjects to guide."
"#0After turning the handle in the nest of Giant Flies to open the passageway","55001900","As Ashes will be, ever seeking fire..."
"#0After talking with Father Ariancel to initiate their boss fight","55001100","Fret not father, we have no need of thy flail."
"#0After talking with Father Ariancel to initiate their boss fight","55001101","Tis only the flame, quivering at misguided Ash."
"#0After talking with Father Ariancel to initiate their boss fight","55001102","Please, avert thine eyes."
"#0After talking with Father Ariancel to initiate their boss fight","55001103","I will snuff out these ashes for good."
"#0Upon killing the protagonist","55001500","Return from whence thou cam'st."
"#0Upon killing the protagonist","55001501","For that is thy place of belonging."
"#0Upon killing the protagonist after Father Ariancel","55001600","Leave us be, Ashen One."
"#0Upon killing the protagonist after Father Ariancel","55001601","Sweep all thought of us from thy mind.
As thy kind always have."
"#0Upon killing the protagonist with 5 or more Dark Sigils","55001700","Return from whence thou cam'st."
"#0Upon killing the protagonist with 5 or more Dark Sigils","55001701","Yuria surely awaits thee."
"#0Upon killing the protagonist with 5 or more Dark Sigils after Father Ariancel","55001800","Leave us be, Ashen One,"
"#0Upon killing the protagonist with 5 or more Dark Sigils after Father Ariancel","55001801","Thou'rt the Lord of Londor, and have thine own subjects to guide."
"#0Upon killing the protagonist with 5 or more Dark Sigils after Father Ariancel","55001200","##Ahh, Father..."
"#0Upon killing the protagonist with 5 or more Dark Sigils after Father Ariancel","55001201","##Such a deed, for one as I...?"
"#0Upon killing the protagonist with 5 or more Dark Sigils after Father Ariancel","55002000","##Thy service was valiant... Vilhelm."
"#0Upon killing the protagonist with 5 or more Dark Sigils after Father Ariancel","55002001","##Rest well, good fellow."
