"behavior","subdialogue_id","subdialogue_text"
"#0After approaching his location","51000000","Ahh, merciful goddess,
mother of the Forlorn, who have no place to call their own..."
"#0After approaching his location","51000001","Please, bear witness to our resolve..."
"#0After approaching his location","51000002","Fire for Ariandel... Fire for Ariandel..."
"#0After approaching his location","51000003","And the ash to kindle flame..."
"#0After approaching his location","51000004","..."
"#0Talk-1st time","51000100","Wait, you've..."
"#0Talk-1st time","51000101","You've the same scent as that woman..."
"#0Talk-1st time","51000102","Then you must be an Ashen One. You must be!"
"#0Talk-1st time","51000103","..."
"#0Talk-1st time","51000104","You don't know how long I've searched!"
"#0Talk-1st time","51000105","..."
"#0Talk-2nd time","51000200","Ohh, ohh...don't mind me, didn't mean to fall apart."
"#0Talk-2nd time","51000201","Now, Ashen One, I have a kindness to ask of you."
"#0Talk-2nd time","51000202","My lady lives in the cold land of Ariandel."
"#0Talk-2nd time","51000203","I need you to show her flame."
"#0Talk-2nd time","51000204","A proper flame, that will burn the rot away."
"#0Talk-2nd time","51000205","If you truly are Ash, then it must be fire that you seek?"
"#0Choose ""Rufuse"" to either 1st or 2nd query","51000400","Oh. Are you certain of that?"
"#0Choose ""Rufuse"" to either 1st or 2nd query","51000401","Hogwash, hogwash. What Ash does not seek fire?"
"#0Choose ""Rufuse"" to either 1st or 2nd query","51000402","..."
"#0Talk-After choosing ""Rufuse"" to either 1st or 2nd query","51000500","Ahh, you again, I knew it."
"#0Talk-After choosing ""Rufuse"" to either 1st or 2nd query","51000501","As any Ash seeks fire, you will surely help me!"
"#0Talk-After choosing ""Rufuse"" to either 1st or 2nd query","51000502","My lady lives in the cold land of Ariandel."
"#0Talk-After choosing ""Rufuse"" to either 1st or 2nd query","51000503","I need you to show her flame."
"#0Talk-After choosing ""Rufuse"" to either 1st or 2nd query","51000504","A proper flame, that will burn the rot away."
"#0Talk-After choosing ""Rufuse"" to either 1st or 2nd query","51000505","You will thank me when it's done..."
"#0Choose ""Accept"" to either 1st or 2nd query","51000300","Ahh, thank you. They of Ash never fail."
"#0Choose ""Accept"" to either 1st or 2nd query","51000301","...Just a moment, then..."
"#0Choose ""Accept"" to either 1st or 2nd query","51000302","The painting of Ariandel. Well, rotted scrap of it, that is."
"#0Choose ""Accept"" to either 1st or 2nd query","51000303","Go on, take it, touch it..."
"#0Choose ""Accept"" to either 1st or 2nd query","51000305","And then, the Ashes were two."
"#0Upon being attacked before the first talk-1st time","51000700","Please, stop..."
"#0Upon being attacked before the first talk-1st time","51000701","I beg of you, please, stop."
"#0Upon being attacked before the first talk-2nd time","51000702","My work is not yet done."
"#0Upon being attacked before the first talk-2nd time","51000703","I am no foe of yours... Please, stop..."
"#0Upon dying before the first talk","51001000","Ahh, fire for Ariandel..."
"#0Upon dying before the first talk","51001001","Show my lady...flame..."
"#0Upon dying before the first talk","51001002","..."
"#0Talk-1st time once he has revived after being killed by the protagonist","51001200","Dear me, why would you do such a thing?"
"#0Talk-1st time once he has revived after being killed by the protagonist","51001201","Oh...the scent of that woman..."
"#0Talk-1st time once he has revived after being killed by the protagonist","51000102","Then you must be an Ashen One. You must be!"
"#0Talk-1st time once he has revived after being killed by the protagonist","51000103","..."
"#0Talk-1st time once he has revived after being killed by the protagonist","51000104","You don't know how long I've searched!"
"#0Talk-1st time once he has revived after being killed by the protagonist","51000105","..."
"#0Talk-2nd time once he has revived after being killed by the protagonist","51001300","Dear me, why would you do such a thing?"
"#0Talk-2nd time once he has revived after being killed by the protagonist","51001301","No matter, it's hardly the first time."
"#0Talk-2nd time once he has revived after being killed by the protagonist","51001302","More importantly, I've a service to ask of you, Ashen One..."
"#0Talk-2nd time once he has revived after being killed by the protagonist","51000502","My lady lives in the cold land of Ariandel."
"#0Talk-2nd time once he has revived after being killed by the protagonist","51000503","I need you to show her flame."
"#0Talk-2nd time once he has revived after being killed by the protagonist","51000504","A proper flame, that will burn the rot away."
"#0Talk-2nd time once he has revived after being killed by the protagonist","51000505","You will thank me when it's done..."
"#0Upon being attacked after talking-1st time","51000800","What in blazes..."
"#0Upon being attacked after talking-1st time","51000801","Well, I suppose you are Ash..."
"#0Upon being attacked after talking-2nd time","51000803","Yes, of course, as all Ash should be!"
"#0Upon dying after talking","51001100","If you truly are Ash, you will seek fire..."
"#0Upon dying after talking","51001101","To set Ariandel ablaze..."
"#0Upon dying after talking","51001102","..."
"#0After approaching his location, once he has revived after being killed","51001400","Dear me, why would you do such a thing?"
"#0After approaching his location, once he has revived after being killed","51001401","Dreadful Ash, through and through..."
"#0After approaching his location, once he has revived after being killed","51000502","My lady lives in the cold land of Ariandel."
"#0After approaching his location, once he has revived after being killed","51000503","I need you to show her flame."
"#0After approaching his location, once he has revived after being killed","51000504","A proper flame, that will burn the rot away."
"#0After approaching his location, once he has revived after being killed","51000505","You will thank me when it's done..."
"#0After approaching his location","71000000","What, still here?"
"#0After approaching his location","71000001","Hand it over. That thing, your dark soul."
"#0After approaching his location","71000002","For my lady's painting."
"#0After he has reached 65% health or lower","71000100","Ahh, is this the blood?"
"#0After he has reached 65% health or lower","71000101","The blood of the dark soul?"
