"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","12000000","Ahh, you're no jailer, are you?"
"#0Talk-1st time","12000001","No, no, you're from far away. And judging by the bell..."
"#0Talk-1st time","12000002","You must be some of that unkindled ash."
"#0Talk-1st time","12000003","Remarkable.
If that's true, then I have a favour to ask."
"#0Talk-1st time","12000004","Below the High Wall is a musty little town."
"#0Talk-1st time","12000005","Not the home of any lord, just a very old settlement of Undead."
"#0Talk-1st time","12000006","An old woman, Loretta, lives there."
"#0Talk-1st time","12000007","Please give her this ring."
"#0Talk-1st time","12000008","I-I'm not asking for charity. In fa- in fact, if you do this for me..."
"#0Talk-1st time","12000009","I'll be sure to repay you in kind."
"#0Talk-1st time","12000010","I-I may be a petty thief, but I've more wits than most royalty."
"#0Talk-1st time","12000011","What do you say, then?"
"#0Choose ""Refuse"" to either the 1st or 2nd query","12000200","Yes, well, why should you?"
"#0Choose ""Refuse"" to either the 1st or 2nd query","12000201","But if you change your mind, give me a shout, eh?"
"#0Choose ""Refuse"" to either the 1st or 2nd query","12000202","I-I'm only a petty thief. I've nowhere else to go."
"#0Choose ""Refuse"" to either the 1st or 2nd query","12000203","Not like there's anything calling to me out there..."
"#0Choose ""Refuse"" to either the 1st or 2nd query","12000204","..."
"#0Talk-After choosing ""Refuse"" to either the 1st or 2nd query","12000300","Oh, what have we here? Changed your mind, perhaps?"
"#0Talk-After choosing ""Refuse"" to either the 1st or 2nd query","12000301","You deliver the ring, and I offer my co-operation."
"#0Talk-After choosing ""Refuse"" to either the 1st or 2nd query","12000302","Hardly a shabby deal, hm?"
"#0Choose ""Grant request"" to either the 1st or 2nd query","12000100","Very well. I humbly place my faith in you."
"#0Choose ""Grant request"" to either the 1st or 2nd query","12000101","I am Greirat of the Undead Settlement,
and I promise to assist you."
"#0Choose ""Grant request"" to either the 1st or 2nd query","12000102","Give this ring to old Loretta
at the base of the High Wall."
"#0Choose ""Grant request"" to either the 1st or 2nd query","12000103","...Do your part, and I'll do mine."
"#0Upon being attacked-1st time","12000400","..."
"#0Upon being attacked-2nd time","12000401","..."
"#0Upon being attacked-3rd time","12000402","What in buggery!"
"#0Upon being attacked-4th time","12000403","Damn it, you've lost it, haven't you!"
"#0Upon being attacked & made hostile","12002800","Cold piss, what the devil is it now!"
"#0Upon being attacked & made hostile","12002801","I get caught once, and now this!"
"#0Upon being attacked & made hostile","12002802","One bloody time! Curse the gods!"
"#0Upon killing the protagonist","12002900","As they say,"
"#0Upon killing the protagonist","12002901","""The cornered rat will lick the balls of a cat."""
"#0Upon dying","12000502","Forgive me, dear..."
"#0Talk-1st time","12000600","Oh, hello, you're back."
"#0Talk-1st time","12000601","And in one piece. Well, now it's time I do my part."
"#0Talk-1st time","12000602","Whatever trinket you need, speak up."
"#0Talk-1st time","12000603","Just don't ask me where I got them."
"#0Talk-1st time","12000604","..."
"#0Talk-2nd time","12000700","Oh, hello, you're back."
"#0Talk-2nd time","12000701","And in one piece. Well, now it's time I do my part."
"#0Menu-Choose ""Talk""","12001200","Do me a favour, and don't forget our promise."
"#0Menu-Choose ""Talk""","12001201","Give the ring to old Loretta
at the base of the High Wall."
"#0Menu-Choose ""Talk""","12001202","A nuisance, I know, but it'll help me tie up some loose ends."
"#0Menu-Choose ""Give Loretta's Bone""","12002500","Heavens, she was already dead..."
"#0Menu-Choose ""Give Loretta's Bone""","12002501","Thank you. I-I'm not surprised, though."
"#0Menu-Choose ""Give Loretta's Bone""","12002502","Hmm, almost a relief, really."
"#0Menu-Choose ""Give Loretta's Bone""","12002503","You can keep the ring."
"#0Menu-Choose ""Give Loretta's Bone""","12002504","As, well, a little trinket of thanks, I suppose."
"#0Menu-Choose ""Give Loretta's Bone""","12002505","..."
"#0Menu-Choose ""Talk"" after giving him Loretta's Bone","12002503","You can keep the ring."
"#0Menu-Choose ""Talk"" after giving him Loretta's Bone","12002504","As, well, a little trinket of thanks, I suppose."
"#0Menu-Choose ""Talk"" after giving him Loretta's Bone","12002505","..."
"#0Talk-1st time after giving him Loretta's Bone & travels from Firelink Shrine","12002500","Heavens, she was already dead..."
"#0Talk-2nd time after giving him Loretta's Bone & travels from Firelink Shrine","12001300","Ahh, there you are. I was thinking..."
"#0Talk-2nd time after giving him Loretta's Bone & travels from Firelink Shrine","12001301","You know I'm a petty thief."
"#0Talk-2nd time after giving him Loretta's Bone & travels from Firelink Shrine","12001302","Well, perhaps I'll go on the prowl."
"#0Talk-2nd time after giving him Loretta's Bone & travels from Firelink Shrine","12001303","Everyone's dead or hollowed away anyway,
right, so..."
"#0Talk-2nd time after giving him Loretta's Bone & travels from Firelink Shrine","12001304","I might as well fetch
some weapons or treasure for you."
"#0Talk-2nd time after giving him Loretta's Bone & travels from Firelink Shrine","12001305","Well, what do you say?"
"#0Choose ""Refuse"" to either the 1st or 2nd query","12001500","All right, fine and well."
"#0Choose ""Refuse"" to either the 1st or 2nd query","12001501","If that's your wish, I can only obey."
"#0Choose ""Refuse"" to either the 1st or 2nd query","12001502","But, feel free to change your mind later."
"#0Choose ""Refuse"" to either the 1st or 2nd query","12001503","I wouldn't want to lose my touch..."
"#0Choose ""Refuse"" to either the 1st or 2nd query","12001504","..."
"#0Menu-Choose ""Talk"" after choosing ""Refuse""","12001600","What is it? Have you changed your mind?"
"#0Menu-Choose ""Talk"" after choosing ""Refuse""","12001601","I'm ready to go thieving at a moment's notice.
Just give me the word."
"#0Choose ""Send him to pillage"" to either the 1st or 2nd query","12001400","Thank you. You will not be disappointed."
"#0Choose ""Send him to pillage"" to either the 1st or 2nd query","12001401","Greirat the Thief was once a well-known name."
"#0Choose ""Send him to pillage"" to either the 1st or 2nd query","12001402","Until I ended up rotting in a cell..."
"#0Choose ""Send him to pillage"" to either the 1st or 2nd query","12001403","..."
"#0Choose ""Send him to pillage"" to either the 1st or 2nd query","12001404","..."
"#0Menu-Choose ""Talk"" after choosing ""Send him to pullage""","12001401","Greirat the Thief was once a well-known name."
"#0Menu-Choose ""Talk"" after choosing ""Send him to pullage""","12001402","Until I ended up rotting in a cell..."
"#0Menu-Choose ""Talk"" after choosing ""Send him to pullage""","12001403","..."
"#0Menu-Choose ""Talk"" after choosing ""Send him to pullage""","12001404","..."
"#0Talk-After he has made it back from thieving","12000800","Oh, hello, you've come at a good time."
"#0Talk-After he has made it back from thieving","12000801","It took some prowling, but I've finally made a score."
"#0Talk-After he has made it back from thieving","12000802","Go on, have a gander."
"#0Talk-After protagonist has reached Irithyll of the Boreal Valley","12001700","Ahh, hello, fine work, I say."
"#0Talk-After protagonist has reached Irithyll of the Boreal Valley","12001701","Discovering Irithyll in the Boreal Valley, all in a day's work."
"#0Talk-After protagonist has reached Irithyll of the Boreal Valley","12001702","If the tales are true, it is home to old moon-worshipping nobles,
and should be packed with treasure."
"#0Talk-After protagonist has reached Irithyll of the Boreal Valley","12001703","What do you think? Shall I go and see what I can find?"
"#0Choose ""Refuse""  to pillage Irithyll, either the 1st or 2nd query prompted","12001900","All right, fine and well."
"#0Choose ""Refuse""  to pillage Irithyll, either the 1st or 2nd query prompted","12001901","If that is your wish, I can only obey."
"#0Choose ""Refuse""  to pillage Irithyll, either the 1st or 2nd query prompted","12001902","But, feel free to change your mind later."
"#0Choose ""Refuse""  to pillage Irithyll, either the 1st or 2nd query prompted","12001903","I hate to leave a city of nobles ripe for the picking..."
"#0Choose ""Refuse""  to pillage Irithyll, either the 1st or 2nd query prompted","12001904","..."
"#0Menu-Choose ""Talk"" after choosing ""Refuse""  to pillage Irithyll","12002000","What is it? Changed your mind?"
"#0Menu-Choose ""Talk"" after choosing ""Refuse""  to pillage Irithyll","12002001","I'm ready to go thieving at a moment's notice.
Just give me the word."
"#0Choose ""Send him to pillage"" Irithyll, either the 1st or 2nd query prompted","12001800","Mm, a fine choice!"
"#0Choose ""Send him to pillage"" Irithyll, either the 1st or 2nd query prompted","12001801","I am Greirat, the thief.
What I bring back will be worthy of that name."
"#0Choose ""Send him to pillage"" Irithyll, either the 1st or 2nd query prompted","12001802","..."
