"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","16000000","Ahh, who's there?"
"#0Talk-1st time","16000001","Is someone there, anyone?"
"#0Talk-1st time","16000002","Ahh, please, whoever you are, touch me."
"#0Talk-1st time","16000003","The dark surrounds me, nibbles at my flesh."
"#0Talk-1st time","16000004","Little creatures, they never stop biting."
"#0Talk-1st time","16000005","So please, hold out your hand, and touch me..."
"#0Choose ""Touch"" to the 1st query","16000100","Ahh, yes, there you are, so close, indeed."
"#0Choose ""Touch"" to the 1st query","16000101","Then I am not entirely alone, just yet."
"#0Choose ""Touch"" to the 1st query","16000102","Praise the merciful gods above..."
"#0Talk-After choosing ""Touch"" to the 1st query","16000200","Oh, forgive me."
"#0Talk-After choosing ""Touch"" to the 1st query","16000201","I am Irina of Carim."
"#0Talk-After choosing ""Touch"" to the 1st query","16000202","I came to this land so that I might be a Fire Keeper."
"#0Talk-After choosing ""Touch"" to the 1st query","16000203","Your touch has freed me from the darkness.
You are a Champion, then?"
"#0Talk-After choosing ""Touch"" to the 1st query","16000204","I am weak, and unfit to tend the flames,"
"#0Talk-After choosing ""Touch"" to the 1st query","16000205","But if it would not trouble you,
might I enter into your service, instead?"
"#0Choose ""Decline"" to either the 2nd or 3rd query","16000400","Ahh, yes, of course, I understand."
"#0Choose ""Decline"" to either the 2nd or 3rd query","16000401","Even so, I thank you deeply. For your touch."
"#0Choose ""Decline"" to either the 2nd or 3rd query","16000402","I will never forget it, not ever."
"#0Talk-After choosing ""Decline"" to either the 2nd or 3rd query","16000500","Oh, sweet Champion. You still wish to converse?"
"#0Talk-After choosing ""Decline"" to either the 2nd or 3rd query","16000501","Don't worry about me. I've long dealt in dark. It is my calling."
"#0Talk-After choosing ""Decline"" to either the 2nd or 3rd query","16000502","..."
"#0Choose ""Accept her service"" to either the 2nd or 3rd query","16000300","Oh, thank you, sweet Champion."
"#0Choose ""Accept her service"" to either the 2nd or 3rd query","16000301","I shall take my vows."
"#0Choose ""Accept her service"" to either the 2nd or 3rd query","16000302","I, Irina of Carim, solemnly swear to serve you."
"#0Upon being attacked-1st time","16000603","Have mercy!"
"#0Upon being attacked-2nd time","16000604","Please, stop this!"
"#0Upon dying","16000702","Ohh, great gods, forgive me..."
"#0Talk-1st time","16000800","Oh, Champion of Ash. Welcome back."
"#0Talk-1st time","16000802","I was not meant to be a Fire Keeper,
but I am honoured to serve you beside the Bonfire."
"#0Talk-1st time","16000803","The gods are ever-merciful.
My gratitude lies with them, and with you."
"#0Talk-1st time","16000804","I am yours now. Your wish is my command."
"#0Talk-2nd time","16000900","Oh, Champion of Ash. Welcome back."
"#0Talk-2nd time","16000901","Do you wish to hear a tale? You only have to ask."
"#0Menu-Choose ""Talk""","16001100","You know, in my home of Carim, I was a nun."
"#0Menu-Choose ""Talk""","16001101","I would be pleased to share the tales of miracles with you."
"#0Menu-Choose ""Talk""","16001102","Although to be honest, I only know a few."
"#0Menu-Choose ""Talk""","16001103","But if I had a divine tome, I could tell you many tales and more."
"#0Menu-Choose ""Talk""","16001104","Ahh, only I cannot see..."
"#0Menu-Choose ""Talk""","16001105","Terribly sorry, but you'll have to find me a Divine Tome in braille."
"#0Menu-Choose ""Give Divine Tome"" & ""Braille Tome of Carim / Lothric""","16001200","Ahh, you've brought me a braille Divine Tome."
"#0Menu-Choose ""Give Divine Tome"" & ""Braille Tome of Carim / Lothric""","16001201","Now I can tell new tales of miracles."
"#0Menu-Choose ""Give Divine Tome"" & ""Braille Tome of Carim / Lothric""","16001202","Tales of the greater miracles can be quite the epics..."
"#0Menu-Choose ""Give Divine Tome"" & ""Braille Tome of Carim / Lothric""","16001203","What fun we will have."
"#0Menu-Choose ""Give Divine Tome"" & ""Braille Tome of Carim / Lothric""","16001204","..."
"#0Menu-Choose ""Leave"" or after leaving abruptly","16001000","Have a pleasant journey, Champion of Ash."
"#0Menu-Choose ""Leave"" or after leaving abruptly","16001001","I pray for your safety."
"#0Menu-Choose ""Leave"" or after leaving abruptly, purchased all Miracles","16002100","Thank you ever so much, sweet Champion."
"#0Menu-Choose ""Leave"" or after leaving abruptly, purchased all Miracles","16002101","May your solemn duty conclude in triumph."
"#0Menu-Choose ""Leave"" or after leaving abruptly, after offering all Cinders","16002200","Godspeed, Champion of Ash."
"#0Menu-Choose ""Leave"" or after leaving abruptly, after offering all Cinders","16002201","May your solemn duty conclude in triumph."
"#0Upon being attacked-1st time","16001903","Have mercy, please!"
"#0Upon being attacked-2nd time","16001904","Please, stop this, sweet Champion!"
"#0Upon dying","16002002","What have you done, sweet Champion of Ash..."
"#0Upon dying","16002003","I only wanted to..."
"#0Menu-Choose ""Give Divine Tome"" & ""Deep / Londor Braille Divine Tome""","16001400","Oh, what's this..."
"#0Menu-Choose ""Give Divine Tome"" & ""Deep / Londor Braille Divine Tome""","16001401","Champion of Ash, this Divine Tome is forbidden..."
"#0Menu-Choose ""Give Divine Tome"" & ""Deep / Londor Braille Divine Tome""","16001402","These are dark tales of things that lurk deep within men...
These stories would not please you..."
"#0Menu-Choose ""Give Divine Tome"" & ""Deep / Londor Braille Divine Tome""","16001403","Of course, if you insist, I will read them for you."
"#0Menu-Choose ""Give Divine Tome"" & ""Deep / Londor Braille Divine Tome""","16001404","Only, ahh, ahh, they frighten me so."
"#0Menu-Choose ""Give Divine Tome"" & ""Deep / Londor Braille Divine Tome""","16001405","The little creatures that nibble at me in the darkness..."
"#0Talk-After purchasing all Dark Miracles","16001500","Ahh, ahh, sweet Champion. Where have you been?"
"#0Talk-After purchasing all Dark Miracles","16001501","Please, your touch..."
"#0Talk-After purchasing all Dark Miracles","16001502","The little creatures, how they nip and bite..."
"#0Menu-Choose ""Braille Tome of Carim / Lothric"" purchased all Dark Miracles","16001700","Ahh, you've brought me a braille Divine Tome."
"#0Menu-Choose ""Braille Tome of Carim / Lothric"" purchased all Dark Miracles","16001701","Now I can tell you tales of miracles, forever and ever..."
"#0Menu-Choose ""Braille Tome of Carim / Lothric"" purchased all Dark Miracles","16001702","..."
"#0Menu-Choose ""Leave"" or after leaving abruptly, purchased all Dark Miracles","16001600","Ahh, sweet Champion. Leaving so soon?"
"#0Menu-Choose ""Leave"" or after leaving abruptly, purchased all Dark Miracles","16001601","Please, come back in good time."
"#0Menu-Choose ""Leave"" or after leaving abruptly, purchased all Dark Miracles","16001602","I am frightened. Of the dark that gnaws away at me."
"#0Talk-1st time after killed Eygon in the Firelink Shrine gravesite","16000000","Ahh, who's there?"
"#0Talk-1st time after killed Eygon in the Firelink Shrine gravesite","16000001","Is someone there, anyone?"
"#0Talk-2nd time after killed Eygon in the Firelink Shrine gravesite","16001500","Ahh, ahh, sweet Champion. Where have you been?"
"#0Talk-2nd time after killed Eygon in the Firelink Shrine gravesite","16001501","Please, your touch..."
"#0Talk-2nd time after killed Eygon in the Firelink Shrine gravesite","16001502","The little creatures, how they nip and bite..."
"#0Talk-After killed Eygon & back to Firelink Shrine","16001800","Ahh, ahh, someone, please, touch me."
"#0Talk-After killed Eygon & back to Firelink Shrine","16001801","The dark, surrounds me, nibbles at my flesh."
"#0Talk-After killed Eygon & back to Firelink Shrine","16001802","Little creatures, they never stop biting."
"#0Talk-After killed Eygon & back to Firelink Shrine","16001803","So please, hold out your hand, and touch me..."
"#0Choose ""Touch"" to the query without Morne's Gauntlets equipped","16002300","Ohh, is there no one near to touch me?"
"#0Choose ""Touch"" to the query without Morne's Gauntlets equipped","16002301","Keep these things from eating away at me."
"#0Upon dying after the protagonist has purchased all of the Dark Miracles","16002602","Ahh, thank you ever so much."
"#0Upon dying after the protagonist has purchased all of the Dark Miracles","16002603","For your touch..."
"#0Choose ""Touch"" to the query with Morne's Gauntlets equipped","16002400","Ohh, you again, touch me, one last time."
"#0Choose ""Touch"" to the query with Morne's Gauntlets equipped","16002401","And kill me, as you promised you would."
"#0Upon being attacked-1st time after ""Touch"" wearing Morne's Gauntlets","16001900","..."
"#0Upon being attacked-2nd time after ""Touch"" wearing Morne's Gauntlets","16001901","..."
"#0Upon dying after ""Touch"" wearing Morne's Gauntlets","16002702","Ohh, a knight of Carim..."
"#0Upon dying after ""Touch"" wearing Morne's Gauntlets","16002703","...is always true to his word..."
"#0Talk-After Irina become Firekeeper","16002500","Ohh, sweet Champion of Ash."
"#0Talk-After Irina become Firekeeper","16002501","Let souls be your strength..."
"#0Upon being attacked-1st time","16000600","..."
"#0Upon being attacked-2nd time","16000601","..."
"#0Upon dying","16000700","..."
"#0Upon dying","16002000","##..."
"#0Upon dying","16002402","##(giggle)"
"#0Upon dying","16002403","##(giggle - longer)"
"#0Upon dying","16002600","##..."
"#0Upon dying","16002700","##..."
"#0Upon dying","16002704","##..."
"#0Upon dying","16000801","##You truly are all the tales said you would be."
"#0Upon dying","16001300","##Ahh, you've brought me a braille Divine Tome."
"#0Upon dying","16001301","##Now I can tell you new tales of miracles."
"#0Upon dying","16001302","##Tales of the old dragon hunters."
"#0Upon dying","16001303","##Perhaps the kind you might enjoy..."
