id,name,remark,description
100,White Sign Soapstone,Leave white co-op summon sign,"Online play item.
Create a co-op summon sign.

Be summoned to another world
as a phantom through your sign,
and defeat the area boss to
gain the strength of flame.

The nature of Lothric is murky, unclear.
The White Sign Soapstone allows
Unkindled to assist one another."
101,Red Sign Soapstone,Leave red antagonizing invasion sign,"Online play item.
Create a hostile red invasion sign.

Be summoned to another world
as a dark spirit,
and defeat the Host of Embers to
gain the strength of fire.

Not all dark spirits are unsporting,
or they wouldn't make use of this soapstone."
102,Red Eye Orb,Invade other worlds at will,"Online play item.
Invade other worlds at will.

Defeat the Host of Embers of the world you have 
invaded to gain the strength of fire.

The Red Eye Orb is rooted in a tiny land
swallowed by darkness long ago.
Some choose to put the orb to other uses.
To embark on this path,
enter the service of Rosaria in the Cathedral of the Deep."
103,Black Separation Crystal,"Banish visiting phantom, or return home","A charm of farewell granted to banished Undead.
The crystal sends phantoms back to their homes,
or you back to yours.

Beware of fickle use of this item
if you intend to nurture relations."
108,Roster of Knights,Check Darkmoon Knights,"Online play item.
A roster of knights of the Darkmoon
who have served since the age of the old Royals.

Use to discover the names of Darkmoon Knights,
an order of elite knights shrouded in shadows."
111,Cracked Red Eye Orb,Consume to invade another world,"Online play item.
Allows a single invasion of another world.

Defeat the Host of Embers of the world you have
invaded to gain the strength of fire.

The Cracked Red Orb is far from perfect, it seems,
as Ringfinger Leonhard knows all too well."
115,Black Eye Orb,Invade the world of Rosaria's killer,"Arcane orb left on Rosaria's corpse.

Have faith her soul can be retrieved,
by invading the world of her killer,
and returning victorious.

The Black Eye is proof of vengeance,
but often appears serene as it
casts its gaze toward Irithyll."
117,Darksign,Lose souls and return to bonfire,"The Darksign is the sign of an accursed Undead.

The Darksign returns its bearer
to the last bonfire rested at,
or the bonfire at Firelink Shrine,
but at the cost of all souls held.

Carriers of the Darksign are reborn after death,
and eventually lose their minds, turning Hollow.
And so it is they are driven from their homelands."
119,Way of White Circlet,Restore the link to other worlds,"Online play item.
Restore the connection to other worlds.

Those who engage in unjust deeds when in contact
with other worlds will lose their connection to them.

Way of White Circlets assume such sin as their own,
but are found few and far between.
Acting without honor will never be without risk. "
150,Estus Flask,Fill with Estus at bonfire. Restores HP.,"The Undead treasure these dull green flasks.

Fill with Estus at bonfires, and drink to restore HP.

The journey of an Undead has always traced the bonfires,
and no journey of import has been made
without an Estus Flask."
190,Ashen Estus Flask,Fill with Estus at bonfire. Restores FP.,"Undead treasure these dull ashen flasks.

Fill with Estus at bonfires, and drink to restore FP.

Quite befitting of an Unkindled,
an Ashen Estus Flask turns a bonfire's heat cold."
240,Divine Blessing,Fully restores HP and cures ailments,"Holy water blessed by the Queen of Lothric.

Fully restores HP and cures ailments.

The Queen of Lothric,
married to the former King Oceiros,
was initially revered as a goddess
of fertility and bounty.
After giving birth to Ocelotte, her youngest,
she quietly disappeared."
241,Hidden Blessing,Fully restores FP,"Holy water blessed by the Queen of Lothric.

Fully restores FP.

There is a grave in Lothric that sees no visitors,
a dark place where rootless warriors rest.
The Queen of Lothric alone cared
to wish the poor souls good fortune."
260,Green Blossom,Temporary boost to stamina recovery speed,"Green weed, shaped like a flower.
Temporary boost to stamina recovery speed.

The Undead Legion of Farron are remembered
for using this annual plant,
normally found near clear water,
to swing their mighty swords with abandon."
261,Budding Green Blossom,Large temporary boost to stamina recovery speed,"Green flower-shaped weed with small white blooms.

Large temporary boost to stamina recovery speed.

Flowers of the Green Blossom are ethereal,
blossoming only on the surface of chilled,
but not frozen, water."
262,Budding Green Blossom,Large temporary boost to stamina recovery speed,"Green flower-shaped weed with small white blooms.

Large temporary boost to stamina recovery speed.

The brief attached messages suggests that it was a gift:

""Good-bye, dear Grandmother.
I will visit Grandfather, in the Pit of Hollows."""
270,Bloodred Moss Clump,Reduces bleeding build-up,"Red moss clump used as maggot repellent.

Reduces bleeding build-up.

Bleeding builds up when attacked
by sharp blades or spikes,
and once triggered causes severe damage.
Use this moss clump before it reaches that point."
271,Purple Moss Clump,Reduces poison build-up. Cures poison.,"Medicinal purple moss clump.
Reduces poison build-up. Cures poison.

Poison builds up in the body,
and when it breaks out,
it causes gradual damage over a period of time.

Poison can be exasperating,
so be sure to carry sufficient moss clumps
when traveling to a blighted area."
272,Blooming Purple Moss Clump,Reduces poison and toxin. Cures status.,"Potently medicinal moss clump with a flower.
Reduces poison and toxin. Cures ailments.

A toxin is a more vicious form of poison
which quickly leads to death.

Moss clumps without blooms
are useless against toxin,
and those who neglect to carry this flowered
variety are simply courting an early demise."
274,Purging Stone,Reduces undead curse build-up and cures hollowing,"Ash-colored stone encasing a skull.

Reduces undead curse build-up and cures hollowing.

Inhabitants of Londor, the land of Hollows,
use this secret treasure to feign normalcy.

Occasionally, a Hollow fools even himself,
and turns on his own kind."
276,Rime-blue Moss Clump,"Reduces frost buildup, cures frostbite status","Moss clump radiating gentle heat and light.
Reduces frost build-up. Cures frostbite status.

Frost accumulates in the body causing frostbite,
which saps one's health, lowers absorption,
and slows stamina recovery.

Weapons imbued with frost are a rare thing indeed,
most of them originating in the Boreal Valley."
280,Repair Powder,Repairs equipped weapons and armor,"Lightly enchanted golden powder.

Repairs equipped weapons and armor,
as long as they haven't already broken.

Use of a weapon depletes its durability,
eventually causing it to break.

As long as a weapon is not broken,
its durability can be restored at a bonfire,
but for distant journeys,
one may wish to prepare ahead."
290,Kukri,Throwing knife. Causes bleed damage.,"Small throwing machete.
Throw at enemies to cause bleeding damage.

A unique weapon originally
used by swordsmen of Carthus,
but now popular among bandits and thieves."
292,Firebomb,"Explodes, inflicting fire damage","Bisque urn filled with black powder.
Explodes, inflicting fire damage.

Fire damage, which differs from physical damage,
is highly effective against creatures of
flesh, beasts, and other foes that might
naturally have cause to fear the flame."
293,Dung Pie,"Turns enemy toxic, but also affects user","Dried fecal waste material, moist on the inside.

Throw at enemy to inflict toxin build-up,
but also ups your own toxicity.

Though the stench makes it difficult to
carry on one's person,
inflicting toxins on an enemy yields
high damage over time.
Perhaps some Undead have fond memories of waste.
Or, perhaps not."
294,Alluring Skull,Attracts certain types of enemies,"A skull resplendent in the scent of souls.
Prepared by evangelists of the Cathedral of the Deep.

Throw to shatter, spreading souls which attract enemies.
Not effective for all foes."
296,Undead Hunter Charm,Prevents Estus recovery within a limited area,"Tool used to hunt down the Undead.
Blocks Estus recovery within a limited area.

Used long ago by Lloyd's cleric knights
on their Undead hunts.
Although Allfather Lloyd is long forgotten
by the Way of White, his hunts have lived on,
and this charm allows one to challenge Undead
without fear of tenacious healing."
297,Black Firebomb,"Explodes, inflicting fire damage","More powerful bisque urn
filled with special black powder.
Explodes, inflicting great fire damage.

Fire damage, which differs from physical damage,
is highly effective against creatures of
flesh, beasts, and other foes that might naturally
have cause to fear the flame."
299,Rope Firebomb,"Thrown behind, explodes inflicting fire damage","Bisque urn attached to a string and
filled with black powder.
Thrown behind and explodes, inflicting fire damage.

No different to a firebomb,
save for the direction in which it is thrown.
Enables a different fighting style,
and flexibility in adjusting to one's circumstances."
300,Lightning Urn,"Explodes, inflicting lightning damage","Dragon-hunting tool used by Lothric knights.
Explodes upon contact, inflicting lightning damage.

The knights of Lothric have since tamed dragons,
but were once hunters of dragons themselves.

This explains their special hunting gear,
and why they worshipped the sun."
302,Rope Black Firebomb,"Thrown behind, explodes inflicting high fire damage","Black bisque urn attached to a string and
filled with black powder.
Thrown behind and explodes, inflicting fire damage.

No different to a black firebomb,
save for the direction in which it is thrown.
Enables a different fighting style,
and flexibility in adjusting to one's circumstances."
