"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","15000000","Oh, there you are."
"#0Talk-1st time","15000001","I thought you'd all but forgotten me. How sweet."
"#0Talk-1st time","15000002","Good to know that a skinny little heretic can still turn heads."
"#0Talk-1st time","15000003","..."
"#0Talk-2nd time","15000100","Hm? Oh...you're not one of them, are you?"
"#0Talk-2nd time","15000101","Accept my apologies, for mistaking you for one of those leeches."
"#0Talk-2nd time","15000102","So, what business have you here?"
"#0Talk-2nd time","15000103","This is a land of monstrosities. And I am no exception."
"#0Choose ""Do not help her"" to either the 1st, 2nd or 3rd query","15000300","..."
"#0Choose ""Do not help her"" to either the 1st, 2nd or 3rd query","15000301","You are very frank."
"#0Choose ""Do not help her"" to either the 1st, 2nd or 3rd query","15000302","If you've no business here, take your leave at once."
"#0Choose ""Do not help her"" to either the 1st, 2nd or 3rd query","15000303","For your own sake."
"#0Talk-After choosing ""Do not help her"" to either the 1st, 2nd or 3rd query","15000400","What is it? Something else?"
"#0Talk-After choosing ""Do not help her"" to either the 1st, 2nd or 3rd query","15000401","Ahh, don't fret over me.
I'm stuck here anyway."
"#0Choose ""Offer help"" to either the 1st or 2nd query","15002400","You're here to save me...?"
"#0Choose ""Offer help"" to either the 1st or 2nd query","15002401","But I am guilty. A wretched child of the Abyss."
"#0Choose ""Offer help"" to either the 1st or 2nd query","15002402","Is that something you can forgive?"
"#0Choose ""Save her nonetheless"" to the 4th query after choosing ""Offer help""","15002500","Oh, really. You are no ordinary man."
"#0Choose ""Save her nonetheless"" to the 4th query after choosing ""Offer help""","15002501","Oh, really. You are no ordinary woman."
"#0Choose ""Save her nonetheless"" to the 4th query after choosing ""Offer help""","15002502","Very well. Besides, I've grown tired of imprisonment."
"#0Choose ""Save her nonetheless"" to the 4th query after choosing ""Offer help""","15002503","I am Karla, and I accept your proposal."
"#0Upon being attacked-1st time","15000500","..."
"#0Upon being attacked-2nd time","15000501","..."
"#0Upon being attacked-3rd time","15000502","Why, you're one of those leeches after all."
"#0Upon being attacked-4th time","15000503","How dare you feign humanity."
"#0Upon dying","15000601","Cursed leech, I await you, in the Abyss..."
"#0Talk-1st time","15000700","Ahh, there you are."
"#0Talk-1st time","15000701","As I said, I am Karla. And am grateful to you."
"#0Talk-1st time","15000702","Now, what shall we do."
"#0Talk-1st time","15000703","The only thing that might interest you is my sorcery."
"#0Talk-1st time","15000704","Although my dark arts are a detestable sort."
"#0Talk-1st time","15000705","That wouldn't interest you, would it?"
"#0Choose ""Decline"" to either the 1st or 2nd query","15000900","..."
"#0Choose ""Decline"" to either the 1st or 2nd query","15000901","Most regrettable."
"#0Choose ""Decline"" to either the 1st or 2nd query","15000902","I have nothing else, you see, nothing at all."
"#0Choose ""Decline"" to either the 1st or 2nd query","15000903","Have you so soon forgotten?
That place is home only to monstrous things,
and I am no exception."
