"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","77000000","Hark! They brought thee here, did they not?"
"#0Talk-1st time","77000001","Dost thou the gods serve? Or merely that role affect?"
"#0Choose ""Just pretending"" to the query","77000200","Yes, yes, of course.
How wouldst one such as thee do service to the gods?"
"#0Choose ""Just pretending"" to the query","77000201","I have intimate knowledge of thy kind. I know thy want."
"#0Choose ""Just pretending"" to the query","77000202","...The dark soul, is it not?"
"#0Choose ""Just pretending"" to the query","77000203","Why else wouldst one deign to visit this dung heap?"
"#0Choose ""Just pretending"" to the query","77000204","Give rest to thy falsity, I would be an ally to thee."
"#0Choose ""Just pretending"" to the query","77000205","..."
"#0Choose ""I serve the Gods"" to the query","77000100","..."
"#0Choose ""I serve the Gods"" to the query","77000101","A lie, a wretched lie!
How wouldst one such as thee do service to the gods?"
"#0Choose ""I serve the Gods"" to the query","77000102","Thy scheme is known to me, I know what it is thou desirest."
"#0Choose ""I serve the Gods"" to the query","77000103","...The dark soul, no?"
"#0Choose ""I serve the Gods"" to the query","77000104","Why else wouldst one deign to visit this dung heap?"
"#0Choose ""I serve the Gods"" to the query","77000105","Give rest to thy falsity, I would be an ally to thee."
"#0Choose ""I serve the Gods"" to the query","77000106","..."
"#0Talk-2nd time","77000300","If it is the dark soul thou desirest..."
"#0Talk-2nd time","77000301","Then seek Filianore's church, at the base of the cliff."
"#0Talk-2nd time","77000302","There wilt thou the sleeping Princess waken."
"#0Talk-2nd time","77000303","...Her slumber is a deceit..."
"#0Talk-2nd time","77000304","A lid covering an overgrown privy;
a prop to keep thee from the dark soul of thine desire."
"#0Talk-3rd time","77000400","..."
"#0Talk-3rd time","77000401","Worry not, I am a true friend to thee."
"#0Talk-3rd time","77000402","If thou'rt yet human, the urge will soon begin to swell."
"#0Talk-3rd time","77000403","To curse the gods,
and bring ruin upon this accursed heap of dung."
"#0Talk-3rd time","77000404","..."
"#0Talk-4th time","77000500","Now, yarely to Filianore's church at the base of the cliff,
to rouse the sleeping Princess."
"#0Talk-4th time","77000501","If thou yet the dark soul desirest..."
"#0Talk-4th time","77000502","..."
"#0Upon being attacked-1st time","77000700","..."
"#0Upon being attacked-2nd time","77000701","..."
"#0Upon being attacked-3rd time","77000702","..."
"#0Upon being attacked-4th time","77000703","..."
"#0Upon dying","77000800","..."
"#0Upon dying","77000801","May the Abyss's curse take the gods...."
