"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","30000000","Oh, my, I see you're Unkindled"
"#0Talk-1st time","30000001","For a pilgrim such as I, all tucked in and awaiting death,
to have this honour."
"#0Talk-1st time","30000002","This presages a most glorious death indeed."
"#0Talk-1st time","30000003","Praise thee, praise thee."
"#0Talk-1st time, after attaining 5 Dark Sigils","30000100","Oh, my, you are...!"
"#0Talk-1st time, after attaining 5 Dark Sigils","30000101","But I'm afraid we require more time."
"#0Talk-1st time, after attaining 5 Dark Sigils","30000102","As long as it takes a dark droplet to fall, that is all."
"#0Talk-1st time, after attaining 5 Dark Sigils","30000103","Our gracious Lord..."
"#0Upon being attacked-1st time","30000400","..."
"#0Upon being attacked-2nd time","30000401","..."
"#0Upon being attacked-3rd time","30000402","Whatever for!"
"#0Upon dying","30000502","But, why..."
"#0Upon dying","30000503","Lady Yuria..."
"#0Talk-1st time in front of the Darkmoon Tomb","30000200","Welcome, our gracious Lord."
"#0Talk-1st time in front of the Darkmoon Tomb","30000201","Your spouse awaits you, you are very near."
"#0Talk-1st time in front of the Darkmoon Tomb","30000202","Please, take the Sword of Avowal."
"#0Talk-1st time in front of the Darkmoon Tomb","30000203","May you be the truest Lord of Londor yet."
"#0Talk-2nd time in front of the Darkmoon Tomb","30000300","Your spouse awaits you, you are very near."
"#0Talk-2nd time in front of the Darkmoon Tomb","30000301","May you be the truest Lord of Londor yet."
"#0Upon dying or link the First Flame with 8 Dark Sigils","30000602","Ahh, our gracious Lord..."
"#0Upon dying or link the First Flame with 8 Dark Sigils","30000603","Make Londor whole..."
"#0Upon dying or link the First Flame with 8 Dark Sigils","30000500","##..."
"#0Upon dying or link the First Flame with 8 Dark Sigils","30000600","##..."
