"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","76000000","Oh, your head's square on your shoulders, is it?"
"#0Talk-1st time","76000001","I thought that clamouring tin can was the last,
but here we go again."
"#0Talk-1st time","76000002","What is it you want from this old stone-humped hag?"
"#0Talk-1st time","76000003","I've nothing for you, not a smithereen.
I just like to stand here, and take in the view."
"#0Choose ""No business in particular"" to the query","76000800","Keep your marbles intact, love."
"#0Choose ""No business in particular"" to the query","76000801","At least until I lose mine."
"#0Talk-After choosing ""No business in particular"" to the query","76000003","I've nothing for you, not a smithereen.
I just like to stand here, and take in the view."
"#0Choose ""I have business with you"" to the query","76000100","Well, that came out of nowhere."
"#0Choose ""I have business with you"" to the query","76000101","You think an old stone-humped hag
would be brimming with goodies?"
"#0Choose ""I have business with you"" to the query","76000102","I've none of that, not a smithereen."
"#0Talk-After choosing ""I have business with you"" to the query","76000200","Strange little lad, you are."
"#0Talk-After choosing ""I have business with you"" to the query","76000201","Strange little lass, you are."
"#0Talk-After choosing ""I have business with you"" to the query","76000202","What on earth do you see in me?"
"#0Menu-Choose ""Talk"" 1st time","76000300","At the close of the Age of Fire,
all lands meet at the end of the earth."
"#0Menu-Choose ""Talk"" 1st time","76000301","Great kingdoms and anaemic townships will be one and the same.
The great tide of human enterprise, all for naught."
"#0Menu-Choose ""Talk"" 1st time","76000302","That's why I'm so taken by this grand sight."
"#0Menu-Choose ""Talk"" 1st time","76000303","This must be what it's like to be a god."
"#0Menu-Choose ""Talk"" 2nd time","76000400","Oh, if you just can't stop yourself, at least hear this."
"#0Menu-Choose ""Talk"" 2nd time","76000401","Far below, there's a deep, dark hole carved out of a tree."
"#0Menu-Choose ""Talk"" 2nd time","76000402","...From time to time,
voices brim from the depths of the cavity even now."
"#0Menu-Choose ""Talk"" 2nd time","76000403","Mutterings of the very demon that Prince Lorian spoke of,
I'm sure."
"#0Menu-Choose ""Talk"" 2nd time","76000404","Horrible sounds, of an afflicted thing yet cursing men."
"#0Menu-Choose ""Inquire of the Ringed City"" after talking with Lapp","76000500","Why, where did you hear that name, love?"
"#0Menu-Choose ""Inquire of the Ringed City"" after talking with Lapp","76000501","Oh, it doesn't matter. I'll tell you what I know."
"#0Menu-Choose ""Inquire of the Ringed City"" after talking with Lapp","76000502","The Ringed City is said to be at world's end."
"#0Menu-Choose ""Inquire of the Ringed City"" after talking with Lapp","76000503","Past this heap of rubbish, as far as one can go."
"#0Menu-Choose ""Inquire of the Ringed City"" after talking with Lapp","76000504","But you'd better think twice."
"#0Menu-Choose ""Inquire of the Ringed City"" after talking with Lapp","76000505","The forsaken Ringed City was walled off
by the gods to contain the pygmies."
"#0Menu-Choose ""Inquire of the Ringed City"" after talking with Lapp","76000506","...and the dark soul is better left well alone..."
"#0Menu-Choose ""Talk"" after choosing ""Inquire of the Ringed City""","76000700","You're not willing to reconsider, are you?"
"#0Menu-Choose ""Talk"" after choosing ""Inquire of the Ringed City""","76000701","Well, that's just fine. It's a rare thing, to have a true duty."
"#0Menu-Choose ""Talk"" after choosing ""Inquire of the Ringed City""","76000702","Don't go and take it for granted, I suppose."
"#0Menu-Choose ""Talk"" after choosing ""Inquire of the Ringed City""","76000703","Won't do any better than this, not you or that poor tin can."
"#0Menu-Choose ""Leave"", or after leaving abruptly","76000800","Keep your marbles intact, love."
"#0Menu-Choose ""Leave"", or after leaving abruptly","76000801","At least until I lose mine."
"#0Menu-Choose ""Leave"",  after choosing ""Inquire of the Ringed City""","76001000","Don't run off and die, love."
"#0Menu-Choose ""Leave"",  after choosing ""Inquire of the Ringed City""","76001001","It's a nicer view with you in it."
"#0Upon being attacked-1st time","76001100","..."
"#0Upon being attacked-2nd time","76001101","..."
"#0Upon being attacked-3rd time","76001102","..."
"#0Upon being attacked-4th time","76001103","..."
"#0Upon dying","76001200","..."
"#0Upon dying","76001300","My time has come, has it?"
"#0Upon dying","76001301","Well, maybe I'll get to see an angel."
"#0Upon dying","76000600","##Ahh, yes, it's just what you'd guess."
"#0Upon dying","76000601","##Legend says that the Ringed City lies at the end of the earth."
"#0Upon dying","76000602","##This heap of everything, you're looking right at it."
"#0Upon dying","76000603","##But be warned."
"#0Upon dying","76000604","##The pygmies were exiled to the Ringed City.
And no one should go near the dark soul."
"#0Upon dying","76000900","##When you see that tin can, pass the word along."
"#0Upon dying","76000901","##I'm afraid he's a little too brave for his own good."
