"behavior","subdialogue_id","subdialogue_text"
"#0Place Name","211100","Cemetery of Ash"
"#0Place Name","211200","Firelink Shrine"
"#0Place Name","211205","Iudex Gundyr"
"#0Place Name","211202","Untended Graves"
"#0Place Name","211206","Champion Gundyr"
"#0Place Name","211101","High Wall of Lothric"
"#0Place Name","211211","Tower on the Wall"
"#0Place Name","211216","Vordt of the Boreal Valley"
"#0Place Name","211215","Dancer of the Boreal Valley"
"#0Place Name","211217","Oceiros, the Consumed King"
"#0Place Name","211108","Lothric Castle"
"#0Place Name","211221","Dragon Barracks"
"#0Place Name","211225","Dragonslayer Armour"
"#0Place Name","211222","Grand Archives"
"#0Place Name","211226","Twin Princes"
"#0Place Name","211102","Undead Settlement"
"#0Place Name","211243","Foot of the High Wall"
"#0Place Name","211241","Cliff Underside"
"#0Place Name","211242","Dilapidated Bridge"
"#0Place Name","211245","Pit of Hollows"
"#0Place Name","211103","Road of Sacrifices"
"#0Place Name","211260","Halfway Fortress"
"#0Place Name","211267","Crucifixion Woods"
"#0Place Name","211265","Crystal Sage"
"#0Place Name","211261","Farron Keep"
"#0Place Name","211262","Keep Ruins"
"#0Place Name","211268","Farron Keep Perimeter"
"#0Place Name","211263","Old Wolf of Farron"
"#0Place Name","211275","Abyss Watchers"
"#0Place Name","211104","Cathedral of the Deep"
"#0Place Name","211280","Cleansing Chapel"
"#0Place Name","211285","Deacons of the Deep"
"#0Place Name","211286","Rosaria's Bed Chamber"
"#0Place Name","211105","Catacombs of Carthus"
"#0Place Name","211327","High Lord Wolnir"
"#0Place Name","211320","Abandoned Tomb"
"#0Place Name","211321","Old King's Antechamber"
"#0Place Name","211322","Demon Ruins"
"#0Place Name","211326","Old Demon King"
"#0Place Name","3805","Smouldering Lake"
"#0Place Name","211106","Irithyll of the Boreal Valley"
"#0Place Name","211292","Central Irithyll"
"#0Place Name","211290","Church of Yorshka"
"#0Place Name","211293","Distant Manor"
"#0Place Name","211295","Pontiff Sulyvahn"
"#0Place Name","211294","Water Reserve"
"#0Place Name","211291","Anor Londo"
"#0Place Name","211297","Prison Tower"
"#0Place Name","211305","Aldrich, Devourer of Gods"
"#0Place Name","211107","Irithyll Dungeon"
"#0Place Name","211331","Profaned Capital"
"#0Place Name","211335","Yhorm the Giant"
"#0Place Name","211109","Archdragon Peak"
"#0Place Name","211252","Dragon-Kin Mausoleum"
"#0Place Name","211251","Great Belfry"
"#0Place Name","211255","Nameless King"
"#0Place Name","211110","Kiln of the First Flame"
"#0Place Name","211340","Flameless Shrine"
"#0Place Name","211345","The First Flame"
"#0Place Name","211111","The Painted World of Ariandel"
"#0Place Name","211401","Snowfield"
"#0Place Name","211402","Rope Bridge Cave"
"#0Place Name","211403","Corvian Settlement"
"#0Place Name","211404","Snowy Mountain Pass"
"#0Place Name","211405","Ariandel Chapel"
"#0Place Name","211400","Sister Friede"
"#0Place Name","211407","Depths of the Painting"
"#0Place Name","211406","Champion's Gravetender"
"#0Place Name","211112","The Dreg Heap"
"#0Place Name","211502","Earthen Peak Ruins"
"#0Place Name","211503","Within the Earthen Peak Ruins"
"#0Place Name","211500","The Demon Prince"
"#0Place Name","211113","The Ringed City"
"#0Place Name","211512","Mausoleum Lookout"
"#0Place Name","211513","Ringed Inner Wall"
"#0Place Name","211514","Ringed City Streets"
"#0Place Name","211515","Shared Grave"
"#0Place Name","211510","Church of Filianore"
"#0Place Name","211511","Darkeater Midir"
"#0Place Name","211521","Filianore's Rest"
"#0Place Name","211520","Slave Knight Gael"
"#0Place Name","4600","Grand Roof"
"#0Place Name","5400","Round Plaza"
"#0Place Name","5300","Dragon Ruins"
"#0Place Name","4700","Kiln of Flame"
"#0Place Name","211264","##Grave of a Decayed Divine Wolf"
"#0Place Name","211504","##Lothric Ruins"
"#0NPC Name","2000","Fire Keeper"
"#0NPC Name","3000","Ludleth of Courland"
"#0NPC Name","4000","Yuria of Londor"
"#0NPC Name","5000","Yoel of Londor"
"#0NPC Name","6000","Company Captain Yorshka"
"#0NPC Name","7000","Hawkwood the Deserter"
"#0NPC Name","8000","Sirris of the Sunless Realms"
"#0NPC Name","9000","Ringfinger Leonhard"
"#0NPC Name","10000","Blacksmith Andre"
"#0NPC Name","11000","Shrine Handmaid"
"#0NPC Name","12000","Greirat of the Undead Settlement"
"#0NPC Name","13000","Orbeck of Vinheim"
"#0NPC Name","14000","Cornyx of the Great Swamp"
"#0NPC Name","15000","Karla"
"#0NPC Name","16000","Irina of Carim"
"#0NPC Name","17000","Eygon of Carim"
"#0NPC Name","19000","Anri of Astora"
"#0NPC Name","19100","Old Woman of Londor"
"#0NPC Name","20000","Unbreakable Patches"
"#0NPC Name","21000","Siegward of Catarina"
"#0NPC Name","23000","High Priestess Emma"
"#0NPC Name","24000","Nestling"
"#0NPC Name","25000","Horace the Hushed"
"#0NPC Name","120000","Holy Knight Hodrick"
"#0NPC Name","150000","Rosaria, Mother of Rebirth"
"#0NPC Name","620000","Sword Master"
"#0NPC Name","630000","Yellowfinger Heysel"
"#0NPC Name","640000","Black Hand Gotthard"
"#0NPC Name","650000","Great Swamp Cuculus"
"#0NPC Name","680000","Londor Pale Shade"
"#0NPC Name","690000","Lion Knight Albert"
"#0NPC Name","700000","Daughter of Crystal Kriemhild"
"#0NPC Name","820000","Knight Slayer Tsorig"
"#0NPC Name","830000","Creighton the Wanderer"
"#0NPC Name","840000","Alva, Seeker of the Spurned"
"#0NPC Name","850000","Longfinger Kirk"
"#0NPC Name","26000","The Painter"
"#0NPC Name","27000","Slave Knight Gael"
"#0NPC Name","29000","Sir Vilhelm"
"#0NPC Name","30000","Champion's Gravetender"
"#0NPC Name","31000","Livid Pyromancer Dunnel"
"#0NPC Name","32000","Forlorn Corvian Settler"
"#0NPC Name","33000","Birch Woman"
"#0NPC Name","34000","Drowsy Forlorn"
"#0NPC Name","906010","Father Ariandel"
"#0NPC Name","27000","Slave Knight Gael"
"#0NPC Name","37000","Amnesiac Lapp"
"#0NPC Name","38000","Shira, Knight of Filianore"
"#0NPC Name","40000","Stone-humped Hag"
"#0NPC Name","45000","Halflight, Spear of the Church"
"#0NPC Name","46000","Desert Pyromancer Zoey"
"#0NPC Name","47000","Silver Knight Ledo"
"#0NPC Name","48000","Seeker of the Spurned"
"#0NPC Name","49000","Moaning Knight"
"#0NPC Name","901320","Crystal Sage"
"#0NPC Name","902090","Oceiros, the Consumed King"
"#0NPC Name","902240","Vordt of the Boreal Valley"
"#0NPC Name","903040","Abyss Watchers"
"#0NPC Name","903050","Old Demon King"
"#0NPC Name","903140","Ancient Wyvern"
"#0NPC Name","903160","Dragonslayer Armour"
"#0NPC Name","905010","Nameless King"
"#0NPC Name","905110","Iudex Gundyr"
"#0NPC Name","905115","Champion Gundyr"
