"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","53000000","I believe...I feel the scent of ash upon thee."
"#0Talk-1st time","53000001","Thou'rt the one of whom uncle Gael spoke."
"#0Talk-1st time","53000002","The one to show me flame."
"#0Talk-2nd time","53000100","Tis good. When this is done, may I return."
"#0Talk-2nd time","53000101","The door is open thanks to thee."
"#0Talk-3rd time","53000200","Tis good. I'll head off to paint."
"#0Talk-3rd time","53000201","I promised uncle Gael I would."
"#0Talk-1st time at her 2nd location","53000400","Thou'rt Ash."
"#0Talk-1st time at her 2nd location","53000401","Thou'st a pact made with uncle Gael."
"#0Talk-1st time at her 2nd location","53000402","So I wish to tell thee all."
"#0Talk-1st time at her 2nd location","53000403","Behold its size. This is my canvas."
"#0Talk-1st time at her 2nd location","53000404","It's to be a cold, dark, and very gentle place."
"#0Talk-1st time at her 2nd location","53000405","...But first, I must see flame."
"#0Talk-2nd time at her 2nd location","53000500","I wish to paint a picture."
"#0Talk-2nd time at her 2nd location","53000501","Of a cold, dark, and very gentle place."
"#0Talk-2nd time at her 2nd location","53000502","One day, it will make someone a goodly home."
"#0Talk-2nd time at her 2nd location","53000503","That's why I must see flame."
"#0After approaching her at her 2nd location, after leaves & returns","53000600","Those who aren't ken to fire cannot paint a world."
"#0After approaching her at her 2nd location, after leaves & returns","53000601","Those absorbed by fire, must not paint a world."
"#0After approaching her at her 2nd location, after leaves & returns","53000602","Don't worry, I haven't forgotten, Mother..."
"#0Talk-1st time after defeating Blackflame Friede","53000700","I can hear the fire crackle..."
"#0Talk-1st time after defeating Blackflame Friede","53000701","And soon, I will see it..."
"#0Talk-2nd time after defeating Blackflame Friede","53000800","My thanks, Ashen One."
"#0Talk-2nd time after defeating Blackflame Friede","53000801","I will finish the painting."
"#0Talk-2nd time after defeating Blackflame Friede","53000802","Of a cold, dark, and very gentle place."
"#0Talk-2nd time after defeating Blackflame Friede","53000803","So that it might make a home for someone, someday."
"#0Talk-1st time after defeating Blackflame Friede, then leaves & returns","53000900","My thanks, Ashen One."
"#0Talk-1st time after defeating Blackflame Friede, then leaves & returns","53000901","I can almost see the flame."
"#0Talk-1st time after defeating Blackflame Friede, then leaves & returns","53000902","Soon uncle Gael will bring me the pigment."
"#0Talk-1st time after defeating Blackflame Friede, then leaves & returns","53000903","I wonder if he has found it?"
"#0Talk-1st time after defeating Blackflame Friede, then leaves & returns","53000904","The dark soul of man..."
"#0Talk-2nd time after defeating Blackflame Friede, then leaves & returns","53001000","I wonder if uncle Gael has found it?"
"#0Talk-2nd time after defeating Blackflame Friede, then leaves & returns","53001001","The dark soul of man..."
"#0Talk-1st time after defeating Slave Knight Geal at Fillanore's Rest","72000000","Ashen One, thy gift of flame has taken root"
"#0Talk-1st time after defeating Slave Knight Geal at Fillanore's Rest","72000001","And Uncle Gael will soon bring the pigment."
"#0Talk-1st time after defeating Slave Knight Geal at Fillanore's Rest","72000002","Pigment coloured like the dark soul of man."
"#0Talk-2nd time after defeating Slave Knight Geal at Fillanore's Rest","72000100","I wonder if Uncle Gael has found it?"
"#0Talk-2nd time after defeating Slave Knight Geal at Fillanore's Rest","72000101","The pigment coloured like the dark soul of man..."
"#0Choose ""Yes"" to give the Blood of the Dark Soul","72000200","My thanks, Ashen One."
"#0Choose ""Yes"" to give the Blood of the Dark Soul","72000201","With this will I paint a world."
"#0Choose ""Yes"" to give the Blood of the Dark Soul","72000202","Please tell me thy name."
"#0Choose ""Yes"" to give the Blood of the Dark Soul","72000203","I would name this painting after thee."
"#0Choose ""I have no name""","72000400","I see. We are much alike."
"#0Choose ""I have no name""","72000401","Twill be a cold, dark, and very gentle place."
"#0Choose ""I have no name""","72000402","And one day, it will make someone a goodly home."
"#0Choose ""I have no name""","72000403","Then I will name this painting ""Ash""."
"#0Choose ""Share your name""","72000300","My thanks. I will paint a world of that name."
"#0Choose ""Share your name""","72000301","Twill be a cold, dark, and very gentle place."
"#0Choose ""Share your name""","72000302","And one day, it will make someone a goodly home."
"#0Talk-1st time after giving her the Blood of the Dark Soul","72000500","I wonder when Uncle Gael intends his return."
"#0Talk-1st time after giving her the Blood of the Dark Soul","72000501","I hope the new painting will be to him a gentle home."
"#0Talk-2nd time after giving her the Blood of the Dark Soul","72000600","My thanks, Ashen One."
"#0Talk-2nd time after giving her the Blood of the Dark Soul","72000601","I will assuredly finish the painting."
"#0Talk-2nd time after giving her the Blood of the Dark Soul","72000602","Of a cold, dark, and very gentle place."
"#0Talk-2nd time after giving her the Blood of the Dark Soul","72000603","One day, it will make someone a goodly home."
"#0Upon being attacked-1st time","53001101","..."
"#0Upon being attacked-2nd time","53001102","..."
"#0Upon being attacked-3rd time","53001103","..."
"#0Upon being attacked-4th time","53001104","..."
"#0Upon dying","53001200","..."
"#0Talk-At her 1st location, after she has revived from being killed","53000300","Worry not,"
"#0Talk-At her 1st location, after she has revived from being killed","53000301","I cannot die."
"#0Talk-At her 2nd location, after she has revived from being killed","53001300","Ashen One, I cannot die."
"#0Talk-At her 2nd location, after she has revived from being killed","53001301","I have a world to paint."
