"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","20000000","Well, you look reasonably sane."
"#0Talk-1st time","20000001","I am a knight of Catarina."
"#0Talk-1st time","20000002","I've managed to track down this cathedral's store of treasure."
"#0Talk-1st time","20000003","It's right over there, across that narrow part."
"#0Talk-1st time","20000004","Treasure...hmm. Always so close, yet so far..."
"#0Talk-1st time","20000005","I'm in quite a pickle, indeed..."
"#0Talk-1st time","20000006","Hmm... Hmm..."
"#0Talk-2nd time","20000100","Just hold your horses a moment."
"#0Talk-2nd time","20000101","I know, I know, treasure is so sorely tempting..."
"#0Talk-2nd time","20000102","Hmm... Hmm..."
"#0Upon being attacked-1st time","20003703","What's happened, friend?"
"#0Upon being attacked-2nd time","20003704","Stop this! Stop this at once!"
"#0Upon being attacked & made hostile","20003800","Gods' spit, I knew something was wrong!"
"#0Upon being attacked & made hostile","20003801","Well, now it's my turn."
"#0Upon being attacked & made hostile","20003802","I'm Unbreakable Patches, nobody can crack me!"
"#0Upon being attacked & made hostile","20003803","Rot in hell!"
"#0Upon killing the protagonist","20004000","Close call, blimey..."
"#0Upon dying","20003903","Why me? Why me?!"
"#0After he betrays the protagonist","20000200","Shame on you, you greedy guts."
"#0After he betrays the protagonist","20000201","Shame on you, you insatiable wench."
"#0After he betrays the protagonist","20000202","Shame on you, you rotten cleric."
"#0After he betrays the protagonist","20000203","Shame on you, you rotten nun."
"#0After he betrays the protagonist","20000204","Thought you could outwit an onion?"
"#0After he betrays the protagonist","20000205","Well, say hello to the nice giant! He adores visitors."
"#0After he betrays the protagonist","20000206","..."
"#0After he betrays the protagonist","20000207","..."
"#0After he betrays the protagonist if they have already killed the giant","20000300","Huh? Where's the old giant?"
"#0After he betrays the protagonist if they have already killed the giant","20000301","What! Where's the bloody giant!"
"#0After he betrays the protagonist if they have already killed the giant","20000302","Just what have you done?!"
"#0After he betrays the protagonist if they have already killed the giant","20000303","How dare you! Have you no shame!"
"#0After he betrays the protagonist if they have already killed the giant","20000304","Damn! Damn! Damn!"
"#0Talk-After he betrays the protagonist","20000400","Oh, yes, oh, hello, I don't believe we've met."
"#0Talk-After he betrays the protagonist","20000401","I'm Patches. Unbreakable Patches."
"#0Talk-After he betrays the protagonist","20000402","You seem to be Unkindled."
"#0Talk-After he betrays the protagonist","20000403","Do you have business with me?"
"#0Choose ""No"" to the query","20001100","Of course not, we have just met, after all."
"#0Choose ""No"" to the query","20001101","Sorry, I've been a bit on edge. Forget I even asked."
"#0Choose ""No"" to the query","20001102","..."
"#0Choose ""No"" to the query","20001103","Ahh, but this is your lucky day."
"#0Choose ""No"" to the query","20001104","I happen to be a world-renowned travelling merchant."
"#0Choose ""No"" to the query","20001105","If you're as Unkindled as you look,
you'll find many a useful thing here."
"#0Choose ""You know who I am"" to the query","20000500","Ah, oh, yes, of course...It's coming back to me, now."
"#0Choose ""You know who I am"" to the query","20000501","Oh, I am so sorry. That was my hand, as you know,
but the deed, well, that was the armour's doing."
"#0Choose ""You know who I am"" to the query","20000502","Regrettable, truly.
But behold, I'm stripped clean of that unruly attire."
"#0Choose ""You know who I am"" to the query","20000503","And look at you, not a scratch!"
"#0Choose ""You know who I am"" to the query","20000504","All's well that ends well, right?"
"#0Choose ""You know who I am"" to the query","20000505","Yes, we'll be fine, I can tell,
it's that rotten curse, it is, the untidy mess."
"#0Choose ""You know who I am"" to the query","20000506","..."
"#0Talk-1st time after choosing ""You know who I am"" to the query","20000600","Oh, ahh, yes,
now, it wasn't me, but you still deserve an apology."
"#0Talk-1st time after choosing ""You know who I am"" to the query","20000601","Just a little trinket. Go ahead, it's yours now."
"#0Talk-1st time after choosing ""You know who I am"" to the query","20000602","..."
"#0Talk-1st time after choosing ""You know who I am"" to the query","20000603","You should know, I'm a kind of traveling merchant."
"#0Talk-1st time after choosing ""You know who I am"" to the query","20000604","If you're as Unkindled as you look,
you'll find plenty of good stuff."
"#0Talk-2st time after choosing ""You know who I am"" to the query","20000700","Oh, yes, yes, what can I do?"
"#0Talk-2st time after choosing ""You know who I am"" to the query","20000701","Can't resist it, can you? My sumptuous selection."
"#0Talk-After the Decons of the Deep have been defeated","20000800","Oh, hello again. Welcome to Patches' boutique of wonders."
"#0Talk-After the Decons of the Deep have been defeated","20000801","Can't resist it, can you? My sumptuous selection."
"#0Menu-Choose ""Leave"" or leaving abruptly, without purchasing something","20001000","Can't find anything you like?"
"#0Menu-Choose ""Leave"" or leaving abruptly, without purchasing something","20001001","Well, you could try looking a little harder..."
"#0Menu-Choose ""Leave"" or after leaving abruptly, after purchasing something","20000900","Thanks, good compeer."
"#0Menu-Choose ""Leave"" or after leaving abruptly, after purchasing something","20000901","Thanks, sweeting."
"#0Upon being attacked-1st time","20003303","Oi, calm down, please!"
"#0Upon being attacked-2nd time","20003304","Forgive me! I'm on my hands and knees!"
"#0Upon being attacked-2nd time","20003305","All's well that ends well, right!"
"#0Upon being attacked & made hostile","20003400","Damn, you heartless, good-for-nothing oaf!"
"#0Upon being attacked & made hostile","20003401","Damn, you heartless little harlot!"
"#0Upon being attacked & made hostile","20003402","Well, now it's my turn."
"#0Upon being attacked & made hostile","20003403","I'm Unbreakable Patches, nobody can crack me!"
"#0Upon being attacked & made hostile","20003404","Rot in hell!"
"#0Upon killing the protagonist","20003600","Cough 'em up, every last one of 'em."
"#0Upon killing the protagonist","20003601","Confess your sins."
"#0Upon dying","20003503","What did I ever do, anyway?"
"#0After he locks the protagonist in the tower","20001200","Sorry, friend."
"#0After he locks the protagonist in the tower","20001201","Be more careful! By the gods, curiosity is going to kill you kittens."
"#0After he locks the protagonist in the tower","20001202","Some places are better left alone, you know."
"#0After he locks the protagonist in the tower","20001203","Oh, sorry, am I a tad too late?"
"#0After he locks the protagonist in the tower","20001204","..."
"#0Talk-1st time after he locks the protagonist in the tower","20001300","Have no fear, there's beauty in death."
"#0Talk-1st time after he locks the protagonist in the tower","20001301","Besides, you're surrounded by ladies. Every man's dream, right?"
"#0Talk-1st time after he locks the protagonist in the tower","20001302","Besides, you're amongst your own. Plenty of company, right?"
"#0Talk-1st time after he locks the protagonist in the tower","20001303","Besides, you're surrounded by ladies.
Every rotten cleric's dream, right?"
"#0Talk-1st time after he locks the protagonist in the tower","20001304","..."
"#0Talk-2nd time after he locks the protagonist in the tower","20001400","Oh, no matter, I'll look after things."
"#0Talk-2nd time after he locks the protagonist in the tower","20001401","By stripping every last trinket off your corpse."
"#0Talk-2nd time after he locks the protagonist in the tower","20001402","You're going to make some lucky customer very happy!"
"#0Talk-2nd time after he locks the protagonist in the tower","20001403","..."
"#0Talk-1st time","20001500","Ah, oh, you, you're alive..."
"#0Talk-1st time","20001501","Now, hold your horses, let's have a nice talk about this."
"#0Talk-1st time","20001502","I'll come clean, I did you wrong.
I didn't mean it, though, not one bit."
"#0Talk-1st time","20001503","You get these...urges...running the business and all...
Oh, and I hate myself for it, I do."
"#0Talk-1st time","20001504","You know what I mean? Terrible, really.
But I can see you'll forgive me."
"#0Talk-1st time","20001505","You're alive, after all,
and that's what counts, right?"
"#0Choose ""Forgive him"" to the query","20001600","Oh, fantastic! A wily second chance!"
"#0Choose ""Forgive him"" to the query","20001601","I knew you'd understand, I just knew it."
"#0Choose ""Forgive him"" to the query","20001602","The heart of a lion.
A model for the rest of us. A true friend, forever."
"#0Choose ""Forgive him"" to the query","20001603","..."
"#0Choose ""Do not forgive him"" to the query","20001700","Oh, for heaven's sake, no need to jest with a face like that."
"#0Choose ""Do not forgive him"" to the query","20001701","You're still alive, and I'm here grovelling in the dirt, so to speak."
"#0Choose ""Do not forgive him"" to the query","20001702","Oh, I know! Here, a token of my sincerity. Right and proper, eh?"
"#0Choose ""Do not forgive him"" to the query","20001703","We're just a couple of outcasts, let's make the best of it!"
"#0Choose ""Do not forgive him"" to the query","20001704","..."
"#0Talk-2nd time","20001800","Oh, yes yes, what can I do?"
"#0Talk-2nd time","20001801","Aren't you glad we made good of things?"
"#0Talk-3rd time","20001900","Oh, hello again. Welcome to Patches' boutique of wonders."
"#0Talk-3rd time","20001901","Can't resist it, can you? My sumptuous selection."
"#0Menu-Choose ""Talk"" 1st time","20001703","We're just a couple of outcasts, let's make the best of it!"
"#0Menu-Choose ""Talk"" 1st time","20001704","..."
"#0Menu-Choose ""Talk"" 2nd time after Greirat has arrived in the Firelink Shrine","20002500","Ahh, I see you've met Greirat."
"#0Menu-Choose ""Talk"" 2nd time after Greirat has arrived in the Firelink Shrine","20002501","The slinking rodent.
But he did me a good turn back in Lothric dungeon."
"#0Menu-Choose ""Talk"" 2nd time after Greirat has arrived in the Firelink Shrine","20002502","Doubtless I should do something about that little debt,
or...maybe not."
"#0Menu-Choose ""Talk"" 2nd time after Greirat has arrived in the Firelink Shrine","20002503","Well, I can hardly believe he's still standing."
"#0Menu-Choose ""Talk"" 2nd time after Greirat has arrived in the Firelink Shrine","20002504","..."
"#0Talk-After Greirat has gone thieving","20002600","Hey, what happened to Greirat, anyhow?"
"#0Talk-After Greirat has gone thieving","20002601","I haven't seen him at all lately."
"#0Talk-After Greirat has gone thieving","20002602","If you know where he's scurried off to, be sure and tell me."
"#0Talk-After Greirat has gone thieving","20002603","I need to stock up, and if he's gone and croaked,
he'll have left a gold mine."
"#0Talk-After Greirat has gone thieving","20002604","..."
"#0Choose ""Don't tell him"" 1st time","20003100","Right, yes, I see how it is."
"#0Choose ""Don't tell him"" 1st time","20003101","Some things can't be divulged. Even between friends."
"#0Choose ""Don't tell him"" 1st time","20003102","It comes with the territory, I know."
"#0Choose ""Don't tell him"" 1st time","20003103","But if you happen to recall any details, do be a saint."
"#0Choose ""Don't tell him"" 1st time","20003104","Do it for old Patch's boutique of wonders, at least."
"#0Choose ""Don't tell him"" 1st time","20003105","..."
"#0Choose ""Don't tell him"" 2nd time","20003200","Well? Happen to recall anything important?"
"#0Choose ""Don't tell him"" 2nd time","20003201","About where that old rat scurried off to."
"#0Choose ""Don't tell him"" 2nd time","20003202","..."
"#0Choose ""Tell him"" 1st time after Greirat has gone to Irithyll","20002700","What? Gone all the way to Irithyll, has he?"
"#0Choose ""Tell him"" 1st time after Greirat has gone to Irithyll","20002701","Well, there can't be much left of that frozen sprawl."
"#0Choose ""Tell him"" 1st time after Greirat has gone to Irithyll","20002702","The old rat, he's gone off the deep end this time..."
"#0Choose ""Tell him"" 2nd time after Greirat has gone to Irithyll","20002800","The old rat, he's gone off the deep end this time..."
"#0Choose ""Tell him"" 1st time after Greirat has gone to Lothric Castle","20002900","Hmph. Off to Lothric, the castle of no return..."
"#0Choose ""Tell him"" 1st time after Greirat has gone to Lothric Castle","20002901","That old thief's lost it if he thinks he has a chance in there."
"#0Choose ""Tell him"" 1st time after Greirat has gone to Lothric Castle","20002902","It's not like he's new to this game, what's gotten into him?"
"#0Choose ""Tell him"" 2nd time after Greirat has gone to Lothric Castle","20003000","That old thief, he's really lost it this time..."
"#0Came back to Firelink Shrine","20002200","Well, look at you. The luckiest man in the world."
"#0Came back to Firelink Shrine","20002201","Well, look at you. The luckiest lass in the world."
"#0Came back to Firelink Shrine","20002202","I just got hold of some truly fine treasure.
And for you, I'll practically give it away."
"#0Came back to Firelink Shrine","20002203","..."
"#0Menu-Choose ""Leave"" or leaving abruptly, without purchasing something","20002100","Can't find anything you like?"
"#0Menu-Choose ""Leave"" or leaving abruptly, without purchasing something","20002101","Well, you could try looking a little harder..."
"#0Menu-Choose ""Leave"" or after leaving abruptly, after purchasing something","20002000","Thanks, good compeer."
"#0Menu-Choose ""Leave"" or after leaving abruptly, after purchasing something","20002001","Thanks, sweeting."
"#0Menu-Choose ""Leave"" without purchasing, once he has visited Lothric Castle","20002400","Now, just wait, that's the best you can do? Bloody hell."
"#0Menu-Choose ""Leave"" without purchasing, once he has visited Lothric Castle","20002401","Yeah, keep those purse strings nice and tight.
So tight they choke you."
"#0Menu-Choose ""Leave"" after purchasing, once he has visited Lothric Castle","20002300","What do you say? Brilliant stuff, eh?"
"#0Menu-Choose ""Leave"" after purchasing, once he has visited Lothric Castle","20002301","I won't ask for thanks, but I certainly deserve it."
"#0Menu-Choose ""Leave"" after purchasing, once he has visited Lothric Castle","20002302","..."
"#0Upon being attacked-1st time","20003703","What's happened, friend?"
"#0Upon being attacked-2nd time","20003704","Stop this! Stop this at once!"
"#0Upon being attacked & made hostile","20003800","Gods' spit, I knew something was wrong!"
"#0Upon being attacked & made hostile","20003801","Well, now it's my turn."
"#0Upon being attacked & made hostile","20003802","I'm Unbreakable Patches, nobody can crack me!"
"#0Upon being attacked & made hostile","20003803","Rot in hell!"
"#0Upon killing the protagonist","20004000","Close call, blimey..."
"#0Upon dying","20003903","Why me? Why me?!"
"#0Talk-1st time","73000000","Oh, look at you, you've got your head screwed on correct."
"#0Talk-1st time","73000001","Fantastic. To meet a kindred spirit, on this godsforsaken crag."
"#0Talk-1st time","73000002","Call me Lapp.
I can't remember my real name, so let's just go with that."
"#0Talk-1st time","73000003","I have a feeling we're going to make a fabulous team.
Oh, you'll see, you'll see!"
"#0Talk-1st time","73000004","..."
"#0Talk-2nd time","73000100","Ohh, in all honesty there's something I should tell you..."
"#0Talk-2nd time","73000101","I'm...a Hollow.
Yes, I try to play it off, but I haven't a clue about my past."
"#0Talk-2nd time","73000102","Who I was, or what I lived for.
Not even my own blessed name."
"#0Talk-2nd time","73000103","That's why I've come here, searching."
"#0Talk-2nd time","73000104","For the Purging Monument, said to be in the Ringed City,"
"#0Talk-2nd time","73000107","where the pygmies,
who found the Dark Soul at the dawn of fire, reside."
"#0Talk-2nd time","73000105","All I can say is... Those little stones
aren't doing much to help me remember anymore..."
"#0Talk-2nd time","73000106","..."
"#0Talk-3rd time","73000200","Well, that's the long and short of it."
"#0Talk-3rd time","73000201","So, if I completely forget who you are, don't be wrath with me."
"#0Talk-3rd time","73000202","C'mon, what else can I say? I'm a bloody Hollow, for heaven's sake."
"#0Talk-3rd time","73000203","..."
"#0Talk-1st time at his 2nd location, after exhausting his dialogue at the 1st","73000300","Oh, I know who you are."
"#0Talk-1st time at his 2nd location, after exhausting his dialogue at the 1st","73000301","Great to see you still in once piece."
"#0Talk-1st time at his 2nd location, after exhausting his dialogue at the 1st","73000303","Cor, I can see why they call this the dreg-heap at the world's end."
"#0Talk-1st time at his 2nd location, after exhausting his dialogue at the 1st","73000304","...Mangled remnants from every age, and every land..."
"#0Talk-1st time at his 2nd location, after exhausting his dialogue at the 1st","73000305","It actually sort of lends credence to the old rumours."
"#0Talk-1st time at his 2nd location, after exhausting his dialogue at the 1st","73000306","That the Ringed City rests below it all."
"#0Talk-2nd time at his 2nd location","73000400","Ah, don't mind me. You needn't worry yourself with this nonsense."
"#0Talk-2nd time at his 2nd location","73000401","I just wanted to tell someone, and I'm sick of old humpty.
I should stay quiet."
"#0Talk-2nd time at his 2nd location","73000402","Wait, I'll make it up to you, by letting you in on a secret of sorts."
"#0Talk-2nd time at his 2nd location","73000403","Past here, you'll find the remains of a giant earthen tower
half-submerged in a poisonous swamp."
"#0Talk-2nd time at his 2nd location","73000404","Not a very nice place to visit...
Only, there's precious treasure in the thick of the swamp."
"#0Talk-2nd time at his 2nd location","73000405","I didn't have any use for it, you see.
So sorry, I left the whole package behind."
"#0Talk-2nd time at his 2nd location","73000406","If I get the chance, I could go fetch it for you,
but if that's too long to wait, go nab it for yourself."
"#0Talk-2nd time at his 2nd location","73000407","...I know who you are.
A righteous warrior, yes? With a solemn duty, to boot."
"#0Talk-2nd time at his 2nd location","73000408","Well, grab that treasure, that's as good a duty as any."
"#0Talk-At his 2nd location, after retrieving the Titanite Slab","73000600","Ohh, look at you, you found the treasure."
"#0Talk-At his 2nd location, after retrieving the Titanite Slab","73000601","Dashing, just dashing. You'll make good use of it, I'm sure."
"#0Talk-At his 2nd location, after retrieving the Titanite Slab","73000602","Now, this is a little toast, from me to you."
"#0Talk-At his 2nd location, after retrieving the Titanite Slab","73000603","Not much to speak of, but bottoms up.
To the greatest warrior there is."
"#0Talk-At his 2nd location, after retrieving the Titanite Slab","73000604","..."
"#0Talk-After entering the Ringed City without retrieving the Titanite Slab","73000700","Oh, there you are, perfect timing."
"#0Talk-After entering the Ringed City without retrieving the Titanite Slab","73000701","You remember that treasure, in the thick of the poison swamp?"
"#0Talk-After entering the Ringed City without retrieving the Titanite Slab","73000702","Well, I fetched it for you, as promised."
"#0Talk-After entering the Ringed City without retrieving the Titanite Slab","73000703","Oh, it was only a hop and a skip.
I needed a rest from old nan over there."
"#0Talk-After entering the Ringed City without retrieving the Titanite Slab","73000704","Here, go ahead, it's yours.
Maybe it'll help you with that solemn duty of yours."
"#0Talk-After entering the Ringed City without retrieving the Titanite Slab","73000705","..."
"#0Talk-At his 3rd location, after acquiring Titanite Slab either two methods","73000800","This really is a dreg-heap at the world's end."
"#0Talk-At his 3rd location, after acquiring Titanite Slab either two methods","73000801","...Mangled remnants from every age, and every land..."
"#0Talk-At his 3rd location, after acquiring Titanite Slab either two methods","73000802","It actually sort of lends credence to the old rumours."
