id,name,remark,description
20000,Life Ring,Raises maximum HP,"A generations-old ring set with a small red jewel.
Raises maximum HP.

Rings have unique powers,
and their discovery will do much
to ease a wearisome journey."
20010,Chloranthy Ring,Raises stamina recovery speed,"This old ring is named for its decorative green
blossom, but its luster is long since faded.

Raises stamina recovery speed."
20020,Havel's Ring,Increases maximum load,"A ring for warriors keen on heavy accoutrements.
Increases maximum equip load.

This ring was named after Havel the Rock,
the battlefield compatriot of Gwyn, the First Lord.

The art of war has been a constant since ages past,
and those who would follow in Havel's footsteps
are no fewer now than in his own day."
20030,Ring of Favor,"Increases HP, stamina, and maximum equip load","A ring symbolizing the favor of the Goddess Fina,
whose ""fateful beauty"" is mentioned in legend.

True to the fickle nature of Fina's favor,
her ring increases max HP, stamina,
and maximum equip load."
20040,Ring of Steel Protection,Increases physical damage absorption,"Ring of the Knight King of ancient legend.
Increases physical damage absorption.

The Knight King was said to be
lined with steel on the inside,
such that even the talons of
mighty dragons did him little harm."
20050,Flame Stoneplate Ring,Increases fire damage absorption,"Stoneplates are symbols of true knights,
and red stoneplates are granted to those
who valiantly face Chaos.

Increases fire damage absorption."
20060,Thunder Stoneplate Ring,Increases lightning damage absorption,"Stoneplates are symbols of true knights,
and yellow stoneplates are granted to
those who would become dragons.

Increases lightning damage absorption."
20070,Magic Stoneplate Ring,Increases magic damage absorption,"Stoneplates are symbols of true knights,
and blue stoneplates are granted to
the royal palace guards.

Increases magic damage absorption."
20080,Dark Stoneplate Ring,Increases dark damage absorption,"Stoneplates are symbols of true knights,
and dark purple stoneplates are granted to
Undead knights.

Increases dark damage absorption."
20090,Speckled Stoneplate Ring,"Slightly ups magic, lightning, fire and dark damage absorption","Stoneplates are symbols of true knights,
and speckled stoneplates are granted to
those who face an endless journey.

Slightly increases magic, lightning, fire
and dark damage absorption."
