"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","8000000","Mm, you're an Unkindled, aren't you."
"#0Talk-1st time","8000001","I am Sirris, of the Sunless Realms, former servant of the Divinity."
"#0Talk-1st time","8000002","Duties we each bear, but one's duty is a solitary affair."
"#0Talk-1st time","8000003","I doubt we've much to gain from fraternisation."
"#0Talk-1st time","8000004","Blessing of the moon upon your journey."
"#0Talk-2nd time","8000100","I doubt we've much to gain from fraternisation."
"#0Talk-2nd time","8000101","Blessing of the moon upon your journey."
"#0Talk-1st time after obtaining the Dreamchaser's Ashes","8000200","Hello again."
"#0Talk-1st time after obtaining the Dreamchaser's Ashes","8000201","I have since heard a great deal about you."
"#0Talk-1st time after obtaining the Dreamchaser's Ashes","8000202","For one, that you are most gentle of heart."
"#0Talk-1st time after obtaining the Dreamchaser's Ashes","8000203","I, too, am bound by duty, but can offer you my sign."
"#0Talk-1st time after obtaining the Dreamchaser's Ashes","8000204","I hear that cordial intrusion lays the path to embers."
"#0Talk-1st time after obtaining the Dreamchaser's Ashes","8000205","If I can be of help, by all means, do call upon me."
"#0Talk-1st time after obtaining the Dreamchaser's Ashes","8000206","Blessing of the moon upon your journey."
"#0Talk-2nd time after obtaining the Dreamchaser's Ashes","8000300","If you should require assistance, use my sign."
"#0Talk-2nd time after obtaining the Dreamchaser's Ashes","8000301","Blessing of the moon upon your journey."
"#0After helping her defeat Creighton the Wanderer","8002200","Thank you for your kind assistance."
"#0After helping her defeat Creighton the Wanderer","8002201","Blessing of the moon upon your journey."
"#0Talk-After helping her defeat Creighton the Wanderer","8001700","Mm, I have not thanked you, for your generous rescue."
"#0Talk-After helping her defeat Creighton the Wanderer","8001701","That Dark Spirit was one of Rosaria's Fingers.
Vile bastard offspring who lurk in the darkness."
"#0Talk-After helping her defeat Creighton the Wanderer","8001702","My sworn enemies."
"#0Talk-After helping her defeat Creighton the Wanderer","8001703","Fearsome invaders, to say the least."
"#0Talk-After helping her defeat Creighton the Wanderer","8001704","I would not have made it alone. You have my deepest gratitude."
"#0Talk-After helping her defeat Creighton the Wanderer","8001705","If you require help on your travels,
I offer you my sign."
"#0Talk-After helping her defeat Creighton the Wanderer","8001706","Blessing of the moon upon your journey."
"#0While helping her against Holy Knight Hodrick","8000400","I finally found you."
"#0While helping her against Holy Knight Hodrick","8000401","Just as I promised, grandad, remember?"
"#0After helping her against Holy Knight Hodrick","8000500","Good night, grandad..."
"#0Talk-After helping her against Holy Knight Hodrick","8000600","Oh, there you are."
"#0Talk-After helping her against Holy Knight Hodrick","8000601","I'm afraid I've involved you in my affairs,
over a little promise, at that."
"#0Talk-After helping her against Holy Knight Hodrick","8000602","My sincerest thanks for your assistance."
"#0Talk-After helping her against Holy Knight Hodrick","8000603","At last, my grandfather will rest in peace, and I can die."
