"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","52000000","Well..."
"#0Talk-1st time","52000001","You look to be Unkindled."
"#0Talk-1st time","52000002","No bell tolls, and yet, you've slipped into the painting?"
"#0Talk-1st time","52000003","Oh, no matter."
"#0Talk-1st time","52000004","If you've lost your way, the words of Lady Friede will guide you."
"#0Talk-1st time","52000006","Now, go on inside. Show respect, and listen carefully."
"#0Talk-1st time, after attaining 5 or more Dark Sigils","52000500","Well, well..."
"#0Talk-1st time, after attaining 5 or more Dark Sigils","52000501","You're Lady Yuria's Lord of Hollows."
"#0Talk-1st time, after attaining 5 or more Dark Sigils","52000502","No bell tolls, and yet, you've slipped into the painting?"
"#0Talk-1st time, after attaining 5 or more Dark Sigils","52000503","Oh, no matter."
"#0Talk-1st time, after attaining 5 or more Dark Sigils","52000504","If you've lost your way, the words of Lady Friede will guide you."
"#0Talk-1st time, after attaining 5 or more Dark Sigils","52000506","Now, go on inside. Show respect, and listen carefully."
"#0Talk-2nd time","52000101","What's keeping you? Go on, right inside."
"#0Talk-2nd time","52000102","Show respect, and let Lady Friede speak to you."
"#0Talk-1st time after talking to Sister Friede","52000200","Lady Friede has spoken, has she not?"
"#0Talk-1st time after talking to Sister Friede","52000201","Then tarry no longer and begone."
"#0Talk-2nd time after talking to Sister Friede","52000300","There is one thing you should know."
"#0Talk-2nd time after talking to Sister Friede","52000301","Inside the cold painting, curiosity could be your cross..."
"#0Talk-2nd time after talking to Sister Friede","52000302","Stray from the withering flame,
and the snow will swallow you whole."
"#0Talk-2nd time after talking to Sister Friede","52000303","..."
"#0Talk-1st time after talking to Sister Friede, attaining 5 or more Dark Sigils","52000600","Lady Friede has spoken, has she not?"
"#0Talk-1st time after talking to Sister Friede, attaining 5 or more Dark Sigils","52000601","Then tarry no longer and begone."
"#0Talk-1st time after talking to Sister Friede, attaining 5 or more Dark Sigils","52000602","Carry on, for Lady Yuria, and for Londor."
"#0Upon being attacked","52000400","Why you miserable, mad Hollow."
"#0Upon being attacked","52000401","You're nothing, without a bell to guide your way."
"#0Upon being attacked","52000402","..."
"#0Upon being attacked, after the protagonist has attained 5 or more Dark Sigils","52000700","Why you miserable, mad Hollow."
"#0Upon being attacked, after the protagonist has attained 5 or more Dark Sigils","52000701","What is Lady Yuria thinking..."
"#0Upon appearing after being approached & made hostile","52000800","I've seen your kind, time and time again."
"#0Upon appearing after being approached & made hostile","52000801","Every fleeing man must be caught. Every secret must be unearthed.
Such is the conceit of the self-proclaimed seeker of truth."
"#0Upon appearing after being approached & made hostile","52000802","But in the end, you lack the stomach."
"#0Upon appearing after being approached & made hostile","52000803","For the agony that you'll bring upon yourself..."
"#0Upon killing the protagonist","52001200","I trust you've learned your lesson..."
"#0Upon killing the protagonist","52001201","Inside the cold painting, curiosity could be your cross..."
"#0Upon dying","52001100","Forgive me, my Lady..."
"#0Upon dying","52001101","I swore an oath, but I have failed you..."
"#0Upon dying","52001102","...Lady Elfriede..."
"#0Upon dying","52000005","##Now, go on ahead. Show respect, and listen carefully."
"#0Upon dying","52000100","##What's keeping you? Go on, straight ahead."
"#0Upon dying","52000505","##Now, go on ahead. Show respect, and listen carefully."
