"behavior","subdialogue_id","subdialogue_text"
"#0After approaching him","5000000","..."
"#0After approaching him","5000001","Please, grant me death. Undo my shackles."
"#0After approaching him","5000002","..."
"#0Talk-1st time","5000100","Ohh..."
"#0Talk-1st time","5000101","Ohh, then it's true..."
"#0Talk-1st time","5000102","A Champion of Ash, as I live and breathe."
"#0Talk-1st time","5000103","To be in your presence is a great honour."
"#0Talk-1st time","5000104","I am Yoel of Londor, a pilgrim, as you can see, only..."
"#0Talk-1st time","5000105","Somehow, I've failed to die as was ordained."
"#0Talk-1st time","5000106","Well, perhaps my calling lies elsewhere."
"#0Talk-1st time","5000107","Say, Champion of Ash,
how does the idea of taking me into your service strike you?"
"#0Talk-1st time","5000108","I was once a sorcerer. Surely I can be of use."
"#0Choose ""Decline"" to either the 1st or 2nd query","5000300","Ahh, mm, yes, of course."
"#0Choose ""Decline"" to either the 1st or 2nd query","5000301","An accursed pilgrim has no place in your honourable service."
"#0Choose ""Decline"" to either the 1st or 2nd query","5000302","But if a lost soul should encounter a legend such as you,"
"#0Choose ""Decline"" to either the 1st or 2nd query","5000303","could that be anything but a movement of fate?"
"#0Choose ""Decline"" to either the 1st or 2nd query","5000304","I will remain in this spot."
"#0Choose ""Decline"" to either the 1st or 2nd query","5000305","Praying solemnly that you might have a change of heart."
"#0After choosing ""Decline"" to either the 1st or 2nd query","5000400","Ahh, Champion of Ash. Have you had a change of heart?"
"#0After choosing ""Decline"" to either the 1st or 2nd query","5000401","I beg of you, take me into your service."
"#0Choose ""Accept his service"" to either the 1st or 2nd query","5000200","Ohh, I am honoured, truly."
"#0Choose ""Accept his service"" to either the 1st or 2nd query","5000201","I should be dead, yet you have granted me purpose anew."
"#0Choose ""Accept his service"" to either the 1st or 2nd query","5000202","I, Yoel of Londor, do solemnly swear myself to you."
"#0Upon being attacked-1st time","5000500","..."
"#0Upon being attacked-2nd time","5000501","..."
"#0Upon being attacked-3rd time","5000503","What's come over you!"
"#0Upon dying","5000602","Killing Undead for sport, accursed champion?"
"#0Talk-1st time","5000700","Oh, our Champion of Ash, welcome home."
"#0Talk-1st time","5000701","This pilgrim, with a debt in death,
hardly deserves to behold this divine flame."
"#0Talk-1st time","5000702","And I never would have, had you not taken me into your service."
"#0Talk-1st time","5000703","I thank you dearly for this... And assure you of my leal service."
"#0Talk-2nd time","5000800","Oh, our Champion of Ash. Welcome back."
"#0Talk-2nd time","5000801","By all means, tell me what you desire."
"#0Talk-After hollowing by 1 degree","5000900","Oh, our Champion of Ash. Welcome back."
"#0Talk-After hollowing by 1 degree","5000901","I would do anything for my master, just say the word."
"#0Menu-Choose ""Talk""","5001200","As I have said, I was once a sorcerer."
"#0Menu-Choose ""Talk""","5001201","Alas, the magic of Londor is a far cry
from the wonders of Vinheim."
"#0Menu-Choose ""Talk""","5001202","But I can teach you what I know."
"#0Menu-Choose ""Talk""","5001203","Perhaps more importantly..."
"#0Menu-Choose ""Talk""","5001204","I believe that I can help tease out your true strength."
"#0Menu-Choose ""Talk""","5001205","We pilgrims of Londor are keenly aware."
"#0Menu-Choose ""Talk""","5001206","That those branded by the Darksign
possess something quite special..."
"#0Menu-Choose ""Draw Out True Strength"" before attaining 5 Dark Sigils","5001300","Then, shall we begin?"
"#0Menu-Choose ""Draw Out True Strength"" before attaining 5 Dark Sigils","5001301","Bearer of the Darksign, let your true strength shine..."
"#0Menu-Choose ""Draw Out True Strength"" after attaining 5 Dark Sigils","5001400","Ahh, you have attained ample strength."
"#0Menu-Choose ""Draw Out True Strength"" after attaining 5 Dark Sigils","5001401","All will soon be clear, my good Lord..."
"#0Menu-Choose ""Leave"" or after leaving abruptly","5001000","Be safe, Champion of Ash."
"#0Menu-Choose ""Leave"" or after leaving abruptly, after attaining 5 Dark Sigils","5001100","Be safe, our Lord..."
"#0Upon being attacked-1st time","5001500","..."
"#0Upon being attacked-2nd time","5001501","..."
"#0Upon being attacked-3rd time","5001503","What do you intend?"
"#0Upon dying","5001600","..."
"#0Upon dying","5001603","Lady Yuria..."
"#0Upon dying after attained 5 Dark Sigils","5001700","Ahh, I thank you kindly..."
"#0Upon dying after attained 5 Dark Sigils","5001701","Our kindest Lord..."
"#0Upon dying after attained 5 Dark Sigils","5000600","##..."
"#0Upon dying after attained 5 Dark Sigils","5000603","##And a fool's sport it is..."
"#0Upon dying after attained 5 Dark Sigils","5001602","##Champion of ash, what have you done?"
