"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","6000000","Name thyself, stranger."
"#0Talk-1st time","6000001","I am Yorshka. Captain of the Darkmoon Knights."
"#0Talk-1st time","6000002","What beckoned thee to such a place?"
"#0Choose ""Do Nothing"" to the 1st query","6000200","If thou'st come stumbling here in error,
I bid thee leave anon."
"#0Choose ""Do Nothing"" to the 1st query","6000201","This tower is a prison.
Thy presence shall invoke the ire of the tyrant, Sulyvahn."
"#0Choose ""Do Nothing"" to the 1st query","6000202","Though 'twas a rare delight to converse with another.
My thanks, strange visitor."
"#0Choose ""Do Nothing"" to the 1st query","6000203","May the Darkmoon watch over thee."
"#0Talk-After choosing ""Do Nothing"" to the 1st query","6000300","Thou think'st to remain?"
"#0Talk-After choosing ""Do Nothing"" to the 1st query","6000301","This tower is a prison.
Thy presence shall invoke the ire of the tyrant, Sulyvahn."
"#0Talk-After choosing ""Do Nothing"" to the 1st query","6000302","I bid thee leave, anon."
"#0Talk-After choosing ""Do Nothing"" to the 1st query","6000303","May the Darkmoon watch over thee."
"#0Choose ""Perform Darkmoon Loyalty"" to either the 1st or 2nd query","6000100","Thou think'st to-"
"#0Choose ""Perform Darkmoon Loyalty"" to either the 1st or 2nd query","6000101","Very well. Captain to this knightless company, I remain."
"#0Choose ""Perform Darkmoon Loyalty"" to either the 1st or 2nd query","6000102","I will grant thee purpose."
"#0Choose ""Perform Darkmoon Loyalty"" to either the 1st or 2nd query","6000103","Thou'st journeyed far; hear my voice."
"#0Choose ""Perform Darkmoon Loyalty"" to either the 1st or 2nd query","6000104","If thou shalt swear by the Covenant, to become"
"#0Choose ""Perform Darkmoon Loyalty"" to either the 1st or 2nd query","6000105","A shadow of Father Gwyn and Sister Gwynevere,"
"#0Choose ""Perform Darkmoon Loyalty"" to either the 1st or 2nd query","6000106","A blade that shall hunt the foes of our Lords;"
"#0Choose ""Perform Darkmoon Loyalty"" to either the 1st or 2nd query","6000107","Then I place thee under the aegis,
and the power, of the Darkmoon."
"#0Choose ""Perform Darkmoon Loyalty"" to either the 1st or 2nd query","6000108","Thou'rt now a Blade of the Darkmoon."
"#0Choose ""Perform Darkmoon Loyalty"" to either the 1st or 2nd query","6000109","The only knight of our company."
"#0Choose ""Perform Darkmoon Loyalty"" to either the 1st or 2nd query","6000110","Swear this oath, and face thy solemn duty."
"#0Kneel-After joining the Blade of the Darkmoon Covenant","6000500","Oh, good Blade of the Darkmoon, welcome home."
"#0Kneel-After joining the Blade of the Darkmoon Covenant","6000501","If I can provide thee succour, only tell me how."
"#0Menu-Choose ""Talk"" 1st time","6000700","Long ago, our father Gwyn,
lamenting the waning of the fire, became cinder of his own will."
"#0Menu-Choose ""Talk"" 1st time","6000701","Now, the fire is linked by the champions
who have come in his stead."
"#0Menu-Choose ""Talk"" 1st time","6000702","Such is the will of father, and the gods.
And so the Darkmoon knights took arms,
to watch over those who link the fire."
"#0Menu-Choose ""Talk"" 1st time","6000703","But long ago, our company lost its last proper knight."
"#0Menu-Choose ""Talk"" 1st time","6000704","Only its covenant was preserved, to this day,
until the time of thy visit."
"#0Menu-Choose ""Talk"" 1st time","6000705","Heirdom taketh many forms, indeed."
"#0Menu-Choose ""Talk"" 2nd time","6000800","May I pose thee a question?"
"#0Menu-Choose ""Talk"" 2nd time","6000801","This tower, this prison, stands tall and solitary,
the contraption bridging its lower reaches long unmoving."
"#0Menu-Choose ""Talk"" 2nd time","6000802","So...by what path didst thou here ascend?"
"#0Menu-Choose ""Talk"" 2nd time","6000803","Art thou a creature of the air, or other winged thing?"
"#0Choose ""No, I can't fly"" to the 3rd query","6001000","No, of course not."
