"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","4000000","...Oh, prithee...art thou good Yoel's master?"
"#0Talk-1st time","4000001","I am Yuria of Londor, a close friend of his."
"#0Talk-1st time","4000002","Thanks to thee, Yoel's soul is redeem'd."
"#0Talk-1st time","4000003","Allow me to express my gratitude, in his stead."
"#0Talk-1st time","4000004","Another matter."
"#0Talk-1st time","4000005","Thou'rt a Lord, art thou not?"
"#0Talk-1st time","4000006","Bearer of the dark sigil, and our Lord of Hollows."
"#0Talk-1st time","4000007","For the time thou remain'st our Lord,
we of Londor shall serve thee."
"#0Talk-1st time","4000008","And I, of course, am also thine."
"#0Talk-2nd time","4000100","Speak thy desire,"
"#0Talk-2nd time","4000101","honourable Lord of Hollows."
"#0Menu-Choose ""Talk"" 4th time","4001200","Our Lord and Liege."
"#0Menu-Choose ""Talk"" 4th time","4001201","Knowest thou of a maid named Anri?"
"#0Menu-Choose ""Talk"" 4th time","4001202","Knowest thou of a youth named Anri?"
"#0Menu-Choose ""Talk"" 4th time","4001203","She is Hollow, and will join thee in wedlock."
"#0Menu-Choose ""Talk"" 4th time","4001253","He is Hollow, and will join thee in wedlock."
"#0Menu-Choose ""Talk"" 4th time","4001204","A fellow of mine guides her at this moment.
When the time is ripe, thou mayst make thy salutations."
"#0Menu-Choose ""Talk"" 4th time","4001205","A fellow of mine guides him at this moment.
When the time is ripe, thou mayst make thy salutations."
"#0Menu-Choose ""Talk"" 4th time","4001206","For what Lord taketh no spouse?"
"#0Menu-Choose ""Talk"" 5th time","4001300","Ahh, greetings, our Lord and Liege."
"#0Menu-Choose ""Talk"" 5th time","4001301","Good tidings. Thy spouse is ready."
"#0Menu-Choose ""Talk"" 5th time","4001302","The time is ripe to greet her."
"#0Menu-Choose ""Talk"" 5th time","4001352","The time is ripe to greet him."
"#0Menu-Choose ""Talk"" 5th time","4001303","The girl awaits thee,
in the hidden darkmoon chamber of Anor Londo."
"#0Menu-Choose ""Talk"" 5th time","4001304","The boy awaits thee,
in the hidden darkmoon chamber of Anor Londo."
"#0Menu-Choose ""Talk"" 5th time","4001305","So thou mayst a true monarch become."
"#0Menu-Choose ""Talk"" 1st time, after Orbeck arrived in Firelink Shrine","4001000","Oh, good Hollow. I'm afraid I must say..."
"#0Menu-Choose ""Talk"" 1st time, after Orbeck arrived in Firelink Shrine","4001001","Orbeck of Vinheim is a cause of much consternation."
"#0Menu-Choose ""Talk"" 1st time, after Orbeck arrived in Firelink Shrine","4001002","He proclaimeth himself Lord of Hollows."
"#0Menu-Choose ""Talk"" 1st time, after Orbeck arrived in Firelink Shrine","4001003","If left alone, he may one day imperil thy rule."
"#0Menu-Choose ""Talk"" 1st time, after Orbeck arrived in Firelink Shrine","4001004","Fall to this matter yarely, else we are unraveled."
"#0Menu-Choose ""Talk"" 1st time, after Orbeck arrived in Firelink Shrine","4001005","Decisiveness is the mark of a true monarch..."
"#0Menu-Choose ""Talk"" 2nd time, after Orbeck arrived in Firelink Shrine","4001100","Orbeck of Vinheim is a cause of much consternation."
"#0Menu-Choose ""Talk"" 2nd time, after Orbeck arrived in Firelink Shrine","4001101","If left alone, he may one day imperil thy rule."
